,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
27,3629950010.0,20140820T000000,470000.0,3.0,3.25,1710.0,2381.0,2.0,False,0.0,3.0,8,1360.0,350.0,2003,0,98029.0,47.5477,-122.004,1420,1163.0
28,7889100020.0,20150414T000000,270000.0,3.0,2.5,1720.0,8550.0,1.0,False,0.0,4.0,7,1720.0,0.0,1968,0,98002.0,47.2837,-122.207,1460,8550.0
29,7212680020.0,20141219T000000,299500.0,3.0,1.75,1820.0,8813.0,2.0,False,0.0,3.0,7,1820.0,0.0,1994,0,98003.0,47.2622,-122.303,1780,7349.0
30,2222049108.0,20140918T000000,227000.0,3.0,1.0,1130.0,10018.0,1.0,False,0.0,4.0,6,1130.0,0.0,1954,0,98032.0,47.3733,-122.275,1770,7700.0
31,7129303070.0,20140820T000000,735000.0,4.0,2.75,3040.0,2415.0,2.0,True,4.0,3.0,8,3040.0,0.0,1966,0,98118.0,47.5188,-122.256,2620,2433.0
34,3226049134.0,20140902T000000,330000.0,2.0,1.0,800.0,4533.0,1.0,False,0.0,3.0,6,600.0,200.0,1929,0,98115.0,47.6979,-122.325,1720,6800.0
35,1760600009.0,20140829T000000,229000.0,3.0,1.0,1030.0,7800.0,1.0,False,0.0,3.0,7,1030.0,0.0,1954,0,98168.0,47.473,-122.324,1630,12664.0
36,3352400351.0,20141121T000000,200000.0,3.0,1.0,1480.0,5600.0,1.0,False,0.0,4.0,6,940.0,540.0,1947,0,98178.0,47.5045,-122.27,1350,11100.0
37,8563000250.0,20140812T000000,522500.0,3.0,1.75,1710.0,9707.0,1.0,False,0.0,4.0,8,1710.0,0.0,1966,0,98008.0,47.623,-122.105,1820,8700.0
38,1370800680.0,20150324T000000,1295000.0,3.0,2.75,3450.0,5350.0,1.5,False,3.0,4.0,9,2590.0,860.0,1925,0,98199.0,47.6389,-122.407,2910,5350.0
39,2726049034.0,20141110T000000,2000000.0,3.0,3.25,2610.0,16387.0,2.0,True,4.0,3.0,9,2610.0,0.0,2006,0,98125.0,47.7175,-122.278,2590,12958.0
40,3623059027.0,20141022T000000,200000.0,2.0,0.75,780.0,55764.0,1.0,False,0.0,4.0,4,780.0,0.0,1945,0,98058.0,47.442,-122.105,1620,30847.0
41,3205500020.0,20150408T000000,352000.0,3.0,1.75,1260.0,7200.0,1.0,False,0.0,3.0,7,1260.0,0.0,1971,0,98034.0,47.7189,-122.178,1460,7200.0
42,8924100305.0,20150325T000000,855000.0,4.0,3.0,2590.0,6250.0,2.0,False,2.0,3.0,9,2240.0,350.0,1964,0,98115.0,47.6774,-122.267,2260,6780.0
43,7524300020.0,20140820T000000,267000.0,3.0,2.5,1580.0,12250.0,2.0,False,0.0,3.0,8,1580.0,0.0,1993,0,98198.0,47.3771,-122.315,1560,9900.0
44,2436200715.0,20140506T000000,484000.0,2.0,1.75,1660.0,6000.0,1.0,False,0.0,3.0,7,1160.0,500.0,1942,0,98105.0,47.6624,-122.291,1660,4000.0
46,9187200275.0,20150420T000000,905000.0,4.0,2.25,2240.0,5000.0,2.0,False,0.0,3.0,8,1770.0,470.0,1900,2014,98122.0,47.6027,-122.295,2120,5000.0
48,6151800225.0,20150409T000000,475000.0,3.0,1.75,1850.0,26445.0,1.0,False,0.0,4.0,7,1850.0,0.0,1962,1977,98010.0,47.3412,-122.051,2110,23280.0
51,290000095.0,20140617T000000,675000.0,6.0,1.75,2740.0,6360.0,1.0,False,3.0,3.0,8,1370.0,1370.0,1953,0,98146.0,47.5062,-122.385,2150,6600.0
53,6123000225.0,20140625T000000,260000.0,3.0,1.5,1580.0,8184.0,1.0,False,0.0,3.0,7,1140.0,440.0,1954,0,98148.0,47.4294,-122.331,1540,9476.0
54,4385700285.0,20140903T000000,690000.0,3.0,1.75,1600.0,4400.0,1.0,False,0.0,3.0,7,1030.0,570.0,1941,0,98112.0,47.6348,-122.281,2150,4000.0
55,2469000010.0,20141101T000000,1081000.0,4.0,2.25,2100.0,12172.0,1.0,False,0.0,5.0,9,2100.0,0.0,1961,0,98040.0,47.5458,-122.227,2400,10713.0
57,461002890.0,20141101T000000,499000.0,3.0,1.75,1840.0,5000.0,1.0,False,0.0,4.0,7,920.0,920.0,1910,0,98117.0,47.6808,-122.376,1220,5000.0
58,1823059030.0,20140818T000000,159000.0,3.0,1.0,1320.0,6534.0,1.0,False,0.0,3.0,7,1320.0,0.0,1952,0,98055.0,47.4806,-122.223,2140,7405.0
59,8848400020.0,20141101T000000,430000.0,3.0,1.75,1540.0,8100.0,1.0,False,0.0,4.0,7,940.0,600.0,1947,0,98133.0,47.749,-122.351,1840,8100.0
61,2597300020.0,20141113T000000,725000.0,5.0,2.5,3780.0,20000.0,1.0,False,1.0,4.0,9,1890.0,1890.0,1978,0,98155.0,47.7603,-122.273,2840,19908.0
62,2788400020.0,20140710T000000,150000.0,3.0,1.0,1200.0,9527.0,1.0,False,0.0,3.0,7,1200.0,0.0,1959,0,98168.0,47.5112,-122.316,1510,9457.0
63,7856610130.0,20141101T000000,840000.0,4.0,2.25,2720.0,8712.0,2.0,False,0.0,4.0,9,2720.0,0.0,1976,0,98006.0,47.5616,-122.153,2470,8714.0
64,3303860460.0,20150415T000000,499000.0,4.0,2.5,3100.0,5700.0,2.0,False,0.0,3.0,9,3100.0,0.0,2011,0,98038.0,47.3696,-122.058,3060,6000.0
66,6880210020.0,20150308T000000,340000.0,4.0,2.5,1910.0,7201.0,1.0,False,0.0,3.0,7,1210.0,700.0,1987,0,98198.0,47.3908,-122.316,1690,7554.0
67,6139100101.0,20141101T000000,405100.0,4.0,2.0,1580.0,7300.0,1.0,False,0.0,4.0,7,1580.0,0.0,1955,0,98155.0,47.7598,-122.328,1180,9450.0
68,7202330920.0,20140807T000000,464000.0,3.0,2.5,1690.0,4898.0,2.0,False,0.0,3.0,7,1690.0,0.0,2003,0,98053.0,47.6834,-122.038,2220,4933.0
69,8146300020.0,20140529T000000,723000.0,4.0,2.25,1960.0,8680.0,1.0,False,0.0,4.0,8,1290.0,670.0,1959,0,98004.0,47.6076,-122.192,2160,8680.0
70,7418000130.0,20141211T000000,430000.0,8.0,3.25,4300.0,10441.0,2.0,False,0.0,4.0,8,2800.0,1500.0,1979,0,98059.0,47.4786,-122.131,1780,10457.0
71,9276200635.0,20150430T000000,645000.0,3.0,1.75,1840.0,4255.0,1.0,False,0.0,3.0,7,940.0,900.0,1907,2005,98116.0,47.58,-122.392,1600,4255.0
72,251610020.0,20150508T000000,1580000.0,4.0,2.75,3480.0,19991.0,2.0,False,2.0,4.0,10,2630.0,850.0,1979,0,98004.0,47.6354,-122.214,3770,20271.0
73,8825900020.0,20141101T000000,925000.0,5.0,3.0,2710.0,4200.0,2.0,False,0.0,3.0,7,1890.0,820.0,1919,2014,98115.0,47.6754,-122.307,2150,4200.0
74,3856903495.0,20140709T000000,759000.0,4.0,1.75,2100.0,4750.0,1.0,False,0.0,3.0,7,1340.0,760.0,1975,0,98103.0,47.6695,-122.333,1700,4125.0
76,522059352.0,20150326T000000,358800.0,4.0,2.5,0.0,8140.0,2.0,False,0.0,3.0,8,2155.0,0.0,1996,0,98031.0,47.4204,-122.201,2155,7245.0
77,1778500595.0,20150413T000000,683000.0,5.0,1.5,1720.0,4000.0,1.5,False,0.0,3.0,7,1520.0,200.0,1925,0,98112.0,47.6197,-122.287,2280,4000.0
78,4083300595.0,20141208T000000,650000.0,3.0,1.0,1430.0,4240.0,1.5,False,0.0,3.319728938857231,7,1430.0,0.0,1924,0,98103.0,47.6595,-122.337,1660,4240.0
79,2100200020.0,20141209T000000,288000.0,5.0,2.75,2790.0,4807.0,1.5,False,0.0,4.0,7,2140.0,650.0,1949,0,98002.0,47.3098,-122.223,1056,4807.0
80,2597500840.0,20140707T000000,209950.0,3.0,1.5,1180.0,7300.0,1.0,False,0.0,4.0,7,1180.0,0.0,1968,0,98002.0,47.2857,-122.197,2030,8424.0
81,7935000595.0,20141008T000000,557449.8162272312,3.0,3.5,2450.0,9248.0,2.0,False,4.0,3.0,8,1960.0,490.0,1933,1993,98136.0,47.5476,-122.397,2620,10207.0
82,7857003318.0,20140816T000000,320000.0,3.0,1.0,1330.0,5850.0,1.0,False,0.0,3.0,7,930.0,400.0,1954,0,98108.0,47.5498,-122.298,1440,5850.0
83,9211520020.0,20140822T000000,283748.0,3.0,2.25,1940.0,9560.0,2.0,False,0.0,3.0,7,1940.0,0.0,1989,0,98023.0,47.2998,-122.387,1800,9560.0
84,1460000080.0,20141101T000000,370000.0,3.0,2.25,1600.0,7620.0,1.0,False,0.0,3.0,7,1280.0,320.0,1987,0,98011.0,47.774,-122.208,1600,8215.0
85,3444120130.0,20150327T000000,399950.0,4.0,2.75,3210.0,41689.0,1.0,False,0.0,4.0,8,1610.0,1600.0,1989,0,98042.0,47.3493,-122.062,2100,41384.0
89,3717000250.0,20150422T000000,321000.0,3.0,2.5,2014.0,4500.0,2.0,False,0.0,3.0,7,2014.0,0.0,2005,0,98001.0,47.3371,-122.256,2014,4500.0
90,7697860130.0,20150106T000000,245000.0,3.0,2.0,1440.0,7008.0,1.0,False,0.0,3.0,7,1440.0,0.0,1985,0,98030.0,47.3702,-122.182,1680,7200.0
92,2944500470.0,20140605T000000,257000.0,4.0,2.75,2330.0,7642.0,1.0,False,0.0,3.0,8,1800.0,530.0,1990,0,98023.0,47.2946,-122.37,2320,7933.0
93,7424110130.0,20140515T000000,557364.0283207634,4.0,1.75,1880.0,7303.0,1.0,False,0.0,3.0,7,1010.0,870.0,1976,0,98034.0,47.7129,-122.203,1710,7200.0
94,4037000635.0,20150327T000000,485000.0,4.0,2.25,1850.0,9911.0,1.0,False,0.0,4.0,7,1850.0,0.0,1957,0,98008.0,47.6019,-122.116,1650,8670.0
95,2141500020.0,20141217T000000,500000.0,4.0,2.5,2230.0,8560.0,2.0,False,0.0,3.0,8,2230.0,0.0,2002,0,98059.0,47.4877,-122.143,2400,7756.0
96,952000725.0,20141021T000000,442000.0,2.0,1.0,990.0,4313.0,1.5,False,2.0,4.0,6,990.0,0.0,1917,0,98126.0,47.5677,-122.38,1480,5750.0
97,9550204620.0,20150512T000000,475000.0,3.0,1.75,1720.0,3825.0,1.5,False,0.0,3.0,7,1720.0,0.0,1925,0,98105.0,47.666,-122.327,2000,3825.0
98,6891800250.0,20150406T000000,625000.0,4.0,2.25,3230.0,9935.0,2.0,False,0.0,3.0,8,3230.0,0.0,1986,0,98028.0,47.7685,-122.257,2820,9722.0
99,7812801850.0,20141101T000000,194000.0,3.0,1.0,1180.0,6050.0,1.0,False,0.0,3.0,6,820.0,360.0,1944,0,98178.0,47.4945,-122.249,1070,6050.0
100,7504180170.0,20140707T000000,410000.0,3.0,2.25,1450.0,19206.0,2.0,False,0.0,3.0,7,1450.0,0.0,1989,0,98074.0,47.62,-122.052,1710,21485.0
101,686800080.0,20140612T000000,1034500.0,4.0,2.5,2370.0,10858.0,2.0,False,0.0,3.0,9,2370.0,0.0,2003,0,98004.0,47.6336,-122.192,2510,21673.0
102,7853300290.0,20141101T000000,490000.0,4.0,2.5,2570.0,6157.0,2.0,False,0.0,3.0,7,2570.0,0.0,2006,0,98065.0,47.5389,-121.89,2060,5292.0
103,7905380380.0,20141209T000000,348500.0,4.0,1.75,1870.0,7575.0,1.0,False,0.0,3.0,7,1480.0,390.0,1972,0,98034.0,47.7205,-122.218,1670,7575.0
105,1710400007.0,20141211T000000,660000.0,3.0,2.0,1770.0,2150.0,3.0,False,0.0,3.0,8,1770.0,0.0,1999,0,98122.0,47.6102,-122.314,2010,3200.0
107,1721059069.0,20140717T000000,235000.0,3.0,2.0,1110.0,8724.0,1.0,False,0.0,4.0,7,1110.0,0.0,1990,0,98002.0,47.3056,-122.206,1390,7750.0
109,626049102.0,20150324T000000,397950.0,4.0,1.75,2360.0,8116.0,1.0,False,0.0,4.0,7,1180.0,1180.0,1916,1970,98133.0,47.7635,-122.335,1670,8160.0
110,7349660050.0,20141118T000000,268000.0,3.0,1.75,1600.0,7711.0,1.0,False,0.0,3.0,7,1600.0,0.0,1999,0,98002.0,47.284,-122.202,2100,7711.0
111,1231000660.0,20140521T000000,525000.0,3.0,1.0,1450.0,4000.0,1.0,False,1.0,4.0,8,950.0,500.0,1948,0,98118.0,47.5554,-122.266,1880,4000.0
112,9558900010.0,20141006T000000,549950.0,3.0,2.5,2680.0,5860.0,2.0,False,0.0,3.0,8,2680.0,0.0,2001,0,98011.0,47.7557,-122.223,2680,5860.0
114,1150700170.0,20140926T000000,299000.0,4.0,2.25,1870.0,6693.0,2.0,False,0.0,3.0,7,1870.0,0.0,1996,0,98003.0,47.2774,-122.299,1650,6518.0
115,2769600305.0,20150115T000000,715000.0,6.0,2.75,3400.0,5000.0,2.0,False,2.0,3.0,8,2860.0,540.0,1977,0,98107.0,47.6728,-122.362,1800,5000.0
117,984220290.0,20141101T000000,345000.0,3.0,1.75,1860.0,7191.0,1.0,False,0.0,4.0,7,1260.0,600.0,1975,0,98058.0,47.4338,-122.168,1850,7490.0
118,3616600250.0,20140527T000000,1600000.0,3.0,3.25,3790.0,19000.0,2.0,False,4.0,3.0,10,3790.0,0.0,1985,0,98177.0,47.724,-122.373,2740,18628.0
120,2533300680.0,20141007T000000,1225000.0,3.0,2.5,2860.0,4500.0,2.0,False,2.0,3.0,8,1980.0,880.0,1915,0,98119.0,47.6463,-122.371,2310,4500.0
121,6752600130.0,20150413T000000,351000.0,4.0,2.5,2370.0,7274.0,2.0,False,0.0,3.0,7,2370.0,0.0,1997,0,98031.0,47.3982,-122.171,2090,7656.0
122,9332800020.0,20140715T000000,745000.0,4.0,2.25,2290.0,10409.0,2.0,False,0.0,3.0,8,2290.0,0.0,1972,0,98005.0,47.6351,-122.168,2040,10409.0
123,1121000095.0,20141105T000000,320000.0,2.0,1.0,1120.0,5329.0,1.0,False,1.0,3.0,6,750.0,370.0,1929,0,98126.0,47.5421,-122.378,1530,5330.0
124,6751500285.0,20140731T000000,555700.0,3.0,2.0,1810.0,12420.0,1.0,False,0.0,4.0,7,1810.0,0.0,1957,0,98008.0,47.5888,-122.127,2230,12330.0
126,4019300680.0,20141101T000000,449000.0,3.0,1.75,1660.0,9697.0,1.0,False,0.0,3.319728938857231,7,1660.0,0.0,1952,0,98155.0,47.7564,-122.286,2060,20624.0
127,4408100095.0,20140502T000000,308500.0,2.0,1.0,850.0,6174.0,1.0,False,0.0,4.0,7,850.0,0.0,1950,0,98155.0,47.7352,-122.328,1100,6174.0
128,8944460020.0,20141101T000000,340000.0,4.0,2.5,2665.0,5868.0,2.0,False,0.0,3.0,9,2665.0,0.0,2006,0,98030.0,47.3831,-122.185,2665,6092.0
129,8824900020.0,20150327T000000,937750.0,4.0,2.75,2580.0,3560.0,1.5,False,0.0,5.0,7,1710.0,870.0,1917,0,98115.0,47.6753,-122.304,1980,3800.0
130,7135520780.0,20140506T000000,725126.0,4.0,2.5,3200.0,12369.0,2.0,False,0.0,3.0,10,3200.0,0.0,1998,0,98059.0,47.5273,-122.143,3770,12960.0
131,179001101.0,20150105T000000,135000.0,3.0,1.0,840.0,3000.0,1.0,False,0.0,3.0,5,840.0,0.0,1943,0,98178.0,47.494,-122.275,1010,6000.0
132,4177100005.0,20150403T000000,635000.0,4.0,2.5,2970.0,7961.0,1.0,False,0.0,3.0,8,2020.0,950.0,1969,0,98125.0,47.7118,-122.29,1410,7959.0
133,910000104.0,20140806T000000,245500.0,2.0,1.0,790.0,7500.0,1.0,False,0.0,3.0,6,790.0,0.0,1950,0,98011.0,47.7644,-122.198,1970,8970.0
134,3353400840.0,20141202T000000,230000.0,6.0,1.5,2140.0,36509.0,1.5,False,0.0,4.0,8,2140.0,0.0,1903,1979,98001.0,47.2668,-122.252,1710,12000.0
135,8964800050.0,20150304T000000,1770000.0,3.0,2.5,2580.0,14603.0,1.0,False,2.0,4.0,9,2580.0,0.0,1951,0,98004.0,47.6199,-122.212,2410,14347.0
136,726049217.0,20141110T000000,425000.0,5.0,2.5,2180.0,7875.0,1.0,False,0.0,4.0,7,1200.0,980.0,1955,0,98133.0,47.7543,-122.341,1840,5105.0
138,5589300715.0,20140829T000000,370000.0,3.0,2.0,1860.0,9100.0,1.5,False,0.0,3.0,8,1860.0,0.0,1939,2006,98155.0,47.7522,-122.304,1620,9519.0
139,7229900285.0,20141101T000000,390000.0,3.0,2.0,1840.0,16815.0,1.0,False,0.0,5.0,7,960.0,880.0,1972,0,98059.0,47.4837,-122.11,1810,16732.0
140,2722059215.0,20140603T000000,557449.8162272312,3.0,1.75,1340.0,16480.0,1.0,False,0.0,4.0,7,1340.0,0.0,1968,0,98042.0,47.364,-122.162,1520,10451.0
141,2473372040.0,20150102T000000,345000.0,4.0,2.25,2320.0,7350.0,2.0,False,0.0,3.0,8,2320.0,0.0,1973,0,98058.0,47.4512,-122.131,2170,7350.0
142,3546000630.0,20140826T000000,289000.0,3.0,2.5,2110.0,8304.0,1.0,False,0.0,4.0,7,2110.0,0.0,1985,0,98030.0,47.3558,-122.173,1680,7508.0
143,7888400500.0,20141101T000000,285000.0,5.0,1.5,1840.0,8050.0,1.5,False,0.0,4.0,7,1840.0,0.0,1962,0,98198.0,47.3668,-122.312,1690,8151.0
144,1823049182.0,20140915T000000,147400.0,3.0,2.0,1080.0,9225.0,1.0,False,0.0,2.0,7,1080.0,0.0,1955,0,98146.0,47.4842,-122.346,1410,9840.0
147,7961500010.0,20150304T000000,520000.0,3.0,2.25,2210.0,10794.0,1.0,False,0.0,3.0,7,1540.0,670.0,1967,0,98178.0,47.4911,-122.224,2230,10753.0
148,2424400130.0,20140518T000000,352500.0,3.0,2.25,1410.0,14110.0,1.0,False,2.0,3.0,7,1170.0,240.0,1987,0,98065.0,47.5336,-121.76,1560,18336.0
149,9406510130.0,20150505T000000,557449.8162272312,5.0,3.5,3740.0,24684.0,2.0,False,0.0,3.0,9,2760.0,980.0,1998,0,98038.0,47.3832,-122.057,2880,26023.0
150,3832700250.0,20140929T000000,557449.8162272312,4.0,2.75,2440.0,7150.0,1.0,False,0.0,3.0,7,1200.0,1240.0,1963,1985,98032.0,47.3662,-122.282,1790,7150.0
151,809000525.0,20140826T000000,872500.0,3.0,2.5,2040.0,6000.0,1.0,False,0.0,3.0,8,1840.0,200.0,1951,0,98109.0,47.6334,-122.35,1820,4920.0
152,1370800225.0,20150318T000000,2152500.0,4.0,3.25,3840.0,6214.0,1.5,False,3.0,4.0,10,2590.0,1250.0,1939,0,98199.0,47.6388,-122.406,3280,5915.0
153,3388100020.0,20140812T000000,225000.0,3.0,1.5,1660.0,7221.0,1.0,False,0.0,3.0,7,980.0,680.0,1962,0,98168.0,47.4962,-122.32,1770,8083.0
154,2770604615.0,20141121T000000,735000.0,4.0,2.0,1640.0,6000.0,1.5,False,0.0,4.0,9,1640.0,0.0,1911,0,98119.0,47.6505,-122.375,1900,6000.0
155,3754700420.0,20150401T000000,375000.0,3.0,1.0,1310.0,8400.0,1.0,False,0.0,3.0,7,1310.0,0.0,1972,1989,98034.0,47.7253,-122.197,1680,8000.0
156,6669020290.0,20141023T000000,169000.0,3.0,1.75,1720.0,9775.0,1.0,False,0.0,3.0,8,1720.0,0.0,1978,0,98032.0,47.3731,-122.286,1970,8400.0
158,5493110020.0,20150116T000000,1950000.0,4.0,2.75,4020.0,18745.0,2.0,False,4.0,4.0,10,2830.0,1190.0,1989,0,98004.0,47.6042,-122.21,3150,20897.0
159,6064800470.0,20140805T000000,310000.0,3.0,2.25,1960.0,2345.0,2.0,False,0.0,3.0,7,1750.0,210.0,2003,0,98118.0,47.5419,-122.288,1760,1958.0
160,9304400010.0,20141101T000000,975000.0,4.0,2.5,3240.0,35083.0,2.0,False,0.0,4.0,9,3240.0,0.0,1978,0,98005.0,47.6337,-122.154,3340,24501.0
161,5566100170.0,20141029T000000,650000.0,10.0,2.0,3610.0,11914.0,2.0,False,0.0,4.0,7,3010.0,600.0,1958,0,98006.0,47.5705,-122.175,2040,11914.0
162,3025049028.0,20141216T000000,930000.0,2.0,1.5,1800.0,4500.0,1.0,False,2.0,3.0,7,1000.0,800.0,1942,0,98109.0,47.6305,-122.347,2270,3840.0
163,2848700095.0,20150402T000000,412000.0,4.0,1.5,1960.0,5000.0,1.0,False,0.0,3.0,7,980.0,980.0,1912,0,98106.0,47.5688,-122.363,1300,5000.0
164,2172000894.0,20150417T000000,225000.0,3.0,1.0,1250.0,10200.0,1.0,False,0.0,3.0,6,1250.0,0.0,1965,0,98178.0,47.4902,-122.256,1800,8283.0
165,3034200660.0,20140619T000000,507000.0,3.0,2.5,2120.0,7201.0,2.0,False,0.0,3.0,8,2120.0,0.0,2003,0,98133.0,47.7174,-122.337,1930,7206.0
166,3304700130.0,20141101T000000,1755000.0,4.0,4.0,3860.0,67953.0,2.0,False,2.0,4.0,12,3860.0,0.0,1927,0,98177.0,47.7469,-122.378,4410,128066.0
167,6661200080.0,20141117T000000,230000.0,3.0,2.5,1340.0,3011.0,2.0,False,0.0,3.0,7,1340.0,0.0,1995,0,98038.0,47.3839,-122.038,1060,3232.0
168,8835800480.0,20150223T000000,316000.0,1.0,2.0,1780.0,188465.0,2.0,False,0.0,3.0,10,1780.0,0.0,2001,0,98045.0,47.4506,-121.768,1780,21094.0
169,7853430660.0,20140910T000000,616200.0,5.0,3.25,3920.0,4832.0,2.0,False,0.0,3.0,9,3030.0,890.0,2014,0,98065.0,47.5202,-121.885,2660,4832.0
171,2597670080.0,20150316T000000,370000.0,4.0,2.5,2570.0,7753.0,2.0,False,0.0,3.0,8,2570.0,0.0,1987,0,98058.0,47.4237,-122.162,2140,7615.0
172,2423010130.0,20150306T000000,619100.0,3.0,1.75,1870.0,7030.0,1.0,False,0.0,3.0,7,1870.0,0.0,1977,0,98033.0,47.6999,-122.17,1820,7500.0
173,2927600415.0,20141101T000000,805000.0,3.0,2.25,2860.0,11250.0,1.0,False,1.0,5.0,8,2290.0,570.0,1956,0,98166.0,47.4534,-122.372,2030,11250.0
174,2770604665.0,20150202T000000,612125.0,2.0,1.5,1670.0,6000.0,1.0,False,0.0,3.0,7,1090.0,580.0,1950,0,98119.0,47.6517,-122.374,1670,6000.0
175,425049181.0,20140912T000000,350000.0,2.0,1.5,1070.0,937.0,3.0,False,0.0,3.0,8,1070.0,0.0,2003,0,98115.0,47.6761,-122.3,1100,3200.0
176,3223059217.0,20141104T000000,225000.0,2.0,1.0,940.0,15000.0,1.0,False,0.0,3.0,7,940.0,0.0,1960,0,98055.0,47.4312,-122.195,1450,15000.0
177,6669240130.0,20141101T000000,335000.0,3.0,2.5,2588.0,5701.0,2.0,False,0.0,3.0,8,2588.0,0.0,2008,0,98042.0,47.3449,-122.151,2389,5702.0
178,3303960080.0,20150331T000000,972800.0,5.0,3.25,3500.0,10457.0,2.0,False,0.0,3.0,11,3500.0,0.0,2001,0,98059.0,47.5198,-122.157,3500,11734.0
179,2413910190.0,20150202T000000,500000.0,3.0,1.75,1690.0,48096.0,1.0,False,0.0,3.0,7,1690.0,0.0,1973,0,98053.0,47.6745,-122.061,2070,35160.0
181,4040800050.0,20141119T000000,415000.0,3.0,1.5,1090.0,8400.0,1.0,False,0.0,4.0,7,1090.0,0.0,1966,0,98008.0,47.6219,-122.115,1320,8400.0
182,3438500742.0,20140826T000000,399000.0,3.0,3.0,2240.0,10479.0,2.0,False,0.0,4.0,7,1710.0,530.0,1950,0,98106.0,47.5529,-122.356,1530,5244.0
184,4322200050.0,20141217T000000,340000.0,3.0,2.0,1870.0,3378.0,1.0,False,0.0,3.0,7,1120.0,750.0,1913,0,98136.0,47.5371,-122.393,1870,1872.0
185,6403510130.0,20141114T000000,490000.0,5.0,2.75,2990.0,7200.0,2.0,False,0.0,3.0,8,2990.0,0.0,1997,0,98059.0,47.4955,-122.16,2710,7620.0
186,4307340130.0,20140622T000000,374000.0,4.0,2.5,2580.0,6260.0,2.0,False,0.0,3.0,7,2580.0,0.0,2004,0,98056.0,47.4858,-122.185,2160,3600.0
187,7237600130.0,20150326T000000,852000.0,4.0,1.0,2220.0,3588.0,1.5,False,0.0,4.0,7,1470.0,750.0,1927,0,98115.0,47.6854,-122.308,1740,3588.0
188,5706300020.0,20141125T000000,473000.0,3.0,2.25,1620.0,12309.0,2.0,False,0.0,3.0,7,1620.0,0.0,1987,0,98074.0,47.6188,-122.029,2030,13963.0
