,index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
23,15023,1253200170,20140520T000000,-250000,4,1.5,2500,6300,1,0,0,4,7,1500,1000,1961,0,98032,47.3781,122.284,1720,8925
24,15024,6646200420,20150102T000000,633000,4,2.5,2020,8044,2,0,0,3,8,2020,0,1990,0,98074,47.6247,-122.043,2320,7328
25,15025,8822901024,20150423T000000,310000,3,2,1290,886,3,0,0,3,7,1290,0,2004,0,98125,47.7161,-122.295,1270,1152
26,15026,1323089056,20141110T000000,439000,2,1.75,1620,113862,,0,0,3,7,1620,0,1995,0,98045,-47.4821,-121.719,1560,54806
27,15027,3629950010,20140820T000000,-470000,3,3.25,1710,2381,2,0,0,3,8,1360,350,2003,0,98029,47.5477,-122.004,1420,1163
28,15028,7889100020,20150414T000000,270000,3,2.5,1720,8550,1,0,0,4,7,1720,0,1968,0,98002,47.2837,-122.207,1460,8550
29,15029,7212680020,20141219T000000,299500,3,1.75,1820,8813,2,0,0,3,7,1820,0,1994,0,98003,47.2622,-122.303,1780,7349
30,15030,2222049108,20140918T000000,227000,3,1,1130,10018,1,0,0,4,6,1130,0,1954,0,98032,47.3733,122.275,1770,7700
31,15031,7129303070,20140820T000000,-735000,4,2.75,3040,2415,2,1,4,3,8,3040,0,1966,0,98118,47.5188,-122.256,2620,2433
32,15032,6744700424,20140626T000000,537000,3,3,2410,,2,0,2,3,7,2410,0,1942,1988,98155,47.7394,-122.288,2610,7479
33,15033,1727000680,20141209T000000,699000,4,2.5,2440,14470,1,0,0,4,9,1660,780,1970,0,98005,47.6401,-122.168,2810,
34,15034,3226049134,20140902T000000,330000,2,1,800,4533,1,0,0,3,6,600,200,1929,0,98115,47.6979,-122.325,1720,6800
35,15035,1760600009,20140829T000000,229000,3,1,1030,7800,1,0,0,3,7,1030,0,1954,0,98168,47.473,-122.324,1630,12664
36,15036,3352400351,20141121T000000,200000,3,1,1480,5600,1,0,0,4,6,940,540,1947,0,98178,47.5045,-122.27,1350,11100
37,15037,8563000250,20140812T000000,-522500,3,1.75,1710,9707,1,0,0,4,8,1710,0,1966,0,98008,47.623,-122.105,1820,8700
38,15038,1370800680,20150324T000000,1295000,3,2.75,3450,5350,1.5,0,3,4,9,2590,860,1925,0,98199,47.6389,122.407,2910,5350
39,15039,2726049034,20141110T000000,2000000,3,3.25,2610,16387,2,1,4,3,9,2610,0,2006,0,98125,47.7175,-122.278,2590,12958
40,15040,3623059027,20141022T000000,200000,2,0.75,780,55764,1,0,0,4,4,780,0,1945,0,98058,47.442,-122.105,1620,30847
41,15041,3205500020,20150408T000000,352000,3,1.75,1260,7200,1,0,0,3,7,1260,0,1971,0,98034,47.7189,-122.178,1460,7200
42,15042,8924100305,20150325T000000,855000,4,3,2590,6250,2,0,2,3,9,2240,350,1964,0,98115,47.6774,-122.267,2260,6780
43,15043,7524300020,20140820T000000,-267000,3,2.5,1580,12250,2,0,0,3,8,1580,0,1993,0,98198,47.3771,-122.315,1560,9900
44,15044,2436200715,20140506T000000,484000,2,1.75,1660,6000,1,0,0,3,7,1160,500,1942,0,98105,47.6624,-122.291,1660,4000
45,15045,5469501850,20140629T000000,402000,4,2.75,2950,,1,0,0,4,8,2120,830,1974,0,98042,47.3845,-122.152,2840,17136
46,15046,9187200275,20150420T000000,905000,4,2.25,2240,5000,2,0,0,3,8,1770,470,1900,2014,98122,47.6027,-122.295,2120,5000
47,15047,274000020,20140808T000000,-274000,4,1.75,1940,7500,1,,0,4,7,1720,220,1966,0,98030,47.3736,-122.215,2000,9000
48,,6151800225,20150409T000000,475000,3,1.75,1850,26445,1,0,0,4,7,1850,0,1962,1977,98010,47.3412,-122.051,2110,23280
49,15049,8924600020,20141114T000000,1535000,4,4.5,5770,10050,1,,3,5,9,3160,2610,1949,0,98115,47.677,-122.275,2950,6700
50,15050,4003000285,20140504T000000,-628000,,2,2280,6010,1,,0,3,7,1140,1140,1900,0,98122,47.6034,-122.289,2240,6200
51,15051,290000095,20140617T000000,675000,6,1.75,2740,6360,1,0,3,3,8,1370,1370,1953,0,98146,47.5062,-122.385,2150,6600
52,15052,1565930130,20141104T000000,429900,4,3.25,3760,4675,2,,0,3,8,2740,1020,2007,0,98038,47.3862,-122.048,3280,4033
53,15053,6123000225,20140625T000000,260000,3,1.5,1580,8184,1,0,0,3,7,1140,440,1954,0,98148,47.4294,-122.331,1540,9476
54,15054,4385700285,20140903T000000,690000,3,1.75,1600,4400,1,0,0,3,7,1030,570,1941,0,98112,47.6348,-122.281,2150,4000
55,15055,2469000010,,1081000,4,2.25,2100,12172,1,0,0,5,9,2100,0,1961,0,98040,47.5458,-122.227,2400,10713
56,15056,5205000020,20150409T000000,360000,4,2.5,,7333,2,0,0,3,8,2610,0,1988,0,98003,47.2721,-122.293,2280,9033
57,,461002890,,499000,3,1.75,1840,5000,1,0,0,4,7,920,920,1910,0,98117,47.6808,-122.376,1220,5000
58,15058,1823059030,20140818T000000,159000,3,1,1320,6534,1,0,0,3,7,1320,0,1952,0,98055,47.4806,-122.223,2140,7405
59,15059,8848400020,,430000,3,1.75,1540,8100,1,0,0,4,7,940,600,1947,0,98133,47.749,-122.351,1840,8100
60,15060,4122500095,20150413T000000,1050000,5,2.75,2520,18625,1,0,,3,8,1660,860,1959,0,98004,47.6409,-122.207,3000,16624
61,15061,2597300020,20141113T000000,725000,5,2.5,3780,20000,1,0,1,4,9,1890,1890,1978,0,98155,47.7603,-122.273,2840,19908
62,15062,2788400020,20140710T000000,150000,3,1,1200,9527,1,0,0,3,7,1200,0,1959,0,98168,47.5112,-122.316,1510,9457
63,15063,7856610130,,840000,4,2.25,2720,8712,2,0,0,4,9,2720,0,1976,0,98006,47.5616,-122.153,2470,8714
64,15064,3303860460,20150415T000000,499000,4,2.5,3100,5700,2,0,0,3,9,3100,0,2011,0,98038,47.3696,-122.058,3060,6000
65,15065,2112700920,20141014T000000,285000,3,1.75,,4000,1,0,0,3,7,1100,530,1968,0,98106,47.5351,-122.353,1300,4000
66,15066,6880210020,20150308T000000,340000,4,2.5,1910,7201,1,0,0,3,7,1210,700,1987,0,98198,47.3908,-122.316,1690,7554
67,15067,6139100101,,405100,4,2,1580,7300,1,0,0,4,7,1580,0,1955,0,98155,47.7598,-122.328,1180,9450
68,15068,7202330920,20140807T000000,464000,3,2.5,1690,4898,2,0,0,3,7,1690,0,2003,0,98053,47.6834,-122.038,2220,4933
69,15069,8146300020,20140529T000000,723000,4,2.25,1960,8680,1,0,0,4,8,1290,670,1959,0,98004,47.6076,-122.192,2160,8680
70,15070,7418000130,20141211T000000,430000,8,3.25,4300,10441,2,0,0,4,8,2800,1500,1979,0,98059,47.4786,-122.131,1780,10457
71,15071,9276200635,20150430T000000,645000,3,1.75,1840,4255,1,0,0,3,7,940,900,1907,2005,98116,47.58,-122.392,1600,4255
72,15072,251610020,20150508T000000,1580000,4,2.75,3480,19991,2,0,2,4,10,2630,850,1979,0,98004,47.6354,-122.214,3770,20271
73,15073,8825900020,,925000,5,3,2710,4200,2,0,0,3,7,1890,820,1919,2014,98115,47.6754,-122.307,2150,4200
74,15074,3856903495,20140709T000000,759000,4,1.75,2100,4750,1,0,0,3,7,1340,760,1975,0,98103,47.6695,-122.333,1700,4125
75,15075,6382500020,20140805T000000,690000,4,2,1760,7800,1,,,3,8,1760,0,1954,0,98117,47.6945,-122.38,1950,7800
76,15076,522059352,20150326T000000,358800,4,2.5,0,8140,2,0,0,3,8,2155,0,1996,0,98031,47.4204,-122.201,2155,7245
77,15077,1778500595,20150413T000000,683000,5,1.5,1720,4000,1.5,0,0,3,7,1520,200,1925,0,98112,47.6197,-122.287,2280,4000
78,15078,4083300595,20141208T000000,650000,3,1,1430,4240,1.5,0,0,,7,1430,0,1924,0,98103,47.6595,-122.337,1660,4240
79,15079,2100200020,20141209T000000,288000,5,2.75,2790,4807,1.5,0,0,4,7,2140,650,1949,0,98002,47.3098,-122.223,1056,4807
80,15080,2597500840,20140707T000000,209950,3,1.5,1180,7300,1,0,0,4,7,1180,0,1968,0,98002,47.2857,-122.197,2030,8424
81,15081,7935000595,20141008T000000,,3,3.5,2450,9248,2,0,4,3,8,1960,490,1933,1993,98136,47.5476,-122.397,2620,10207
82,,7857003318,20140816T000000,320000,3,1,1330,5850,1,0,0,3,7,930,400,1954,0,98108,47.5498,-122.298,1440,5850
83,,9211520020,20140822T000000,283748,3,2.25,1940,9560,2,0,0,3,7,1940,0,1989,0,98023,47.2998,-122.387,1800,9560
84,15084,1460000080,,370000,3,2.25,1600,7620,1,0,0,3,7,1280,320,1987,0,98011,47.774,-122.208,1600,8215
85,15085,3444120130,20150327T000000,399950,4,2.75,3210,41689,1,0,0,4,8,1610,1600,1989,0,98042,47.3493,-122.062,2100,41384
86,15086,908000010,20141212T000000,360000,5,2.5,,6902,1,0,0,3,8,1680,1200,1976,2007,98058,47.4332,-122.144,2080,5586
87,15087,3123800080,,365000,2,1.5,1160,,1,0,0,4,7,1160,0,1950,0,98136,47.5146,-122.386,1500,8060
88,,8641500345,20141219T000000,1.00E+11,3,2,1360,3120,2,,0,3,7,1360,0,1989,0,,47.6943,-122.307,1360,3120
89,15089,3717000250,20150422T000000,321000,3,2.5,2014,4500,2,0,0,3,7,2014,0,2005,0,98001,47.3371,-122.256,2014,4500
90,,7697860130,20150106T000000,245000,3,2,1440,7008,1,0,0,3,7,1440,0,1985,0,98030,47.3702,-122.182,1680,7200
91,15091,9169100130,20141007T000000,502000,2,1,1570,,1.5,,1,3,8,1570,0,1931,0,98136,47.5256,-122.392,1820,4704
92,15092,2944500470,20140605T000000,257000,4,2.75,2330,7642,1,0,0,3,8,1800,530,1990,0,98023,47.2946,-122.37,2320,7933
93,,7424110130,20140515T000000,0,4,1.75,1880,7303,1,0,0,3,7,1010,870,1976,0,98034,47.7129,-122.203,1710,7200
94,15094,4037000635,20150327T000000,485000,4,2.25,1850,9911,1,0,0,4,7,1850,0,1957,0,98008,47.6019,-122.116,1650,8670
95,15095,2141500020,20141217T000000,500000,4,2.5,2230,8560,2,0,0,3,8,2230,0,2002,0,98059,47.4877,-122.143,2400,7756
96,15096,952000725,20141021T000000,442000,2,1,990,4313,1.5,0,2,4,6,990,0,1917,0,98126,47.5677,-122.38,1480,5750
97,15097,9550204620,20150512T000000,475000,3,1.75,1720,3825,1.5,0,0,3,7,1720,0,1925,0,98105,47.666,122.327,2000,3825
98,15098,6891800250,20150406T000000,625000,4,2.25,3230,9935,2,0,0,3,8,3230,0,1986,0,98028,47.7685,-122.257,2820,9722
99,15099,7812801850,,194000,3,1,1180,6050,1,0,0,3,6,820,360,1944,0,98178,47.4945,-122.249,1070,6050
100,15100,7504180170,20140707T000000,410000,3,2.25,1450,19206,2,0,0,3,7,1450,0,1989,0,98074,47.62,-122.052,1710,21485
101,15101,686800080,20140612T000000,1034500,4,2.5,2370,10858,2,0,0,3,9,2370,0,2003,0,98004,47.6336,-122.192,2510,21673
102,15102,7853300290,,490000,4,2.5,2570,6157,2,0,0,3,7,2570,0,2006,0,98065,47.5389,-121.89,2060,5292
103,15103,7905380380,20141209T000000,348500,4,1.75,1870,7575,1,0,0,3,7,1480,390,1972,0,98034,47.7205,-122.218,1670,7575
104,15104,1972202320,20150427T000000,380000,3,1,1220,3000,1.5,,0,3,6,1220,0,1901,0,98103,47.6506,-122.346,1350,3000
105,15105,1710400007,20141211T000000,660000,3,2,1770,2150,3,0,0,3,8,1770,0,1999,0,98122,47.6102,-122.314,2010,3200
106,15106,2985800225,20150401T000000,525000,3,1,1500,6800,1,0,0,3,7,1500,0,1943,0,,47.6706,-122.268,1500,6800
107,15107,1721059069,20140717T000000,235000,3,2,1110,8724,1,0,0,4,7,1110,0,1990,0,98002,47.3056,-122.206,1390,7750
108,15108,7852160170,20150422T000000,1210000,4,3.75,4980,18069,2,,3,3,11,4980,0,2006,0,98065,47.5348,-121.856,4080,14577
109,15109,626049102,20150324T000000,397950,4,1.75,2360,8116,1,0,0,4,7,1180,1180,1916,1970,98133,47.7635,-122.335,1670,8160
110,15110,7349660050,20141118T000000,268000,3,1.75,1600,7711,1,0,0,3,7,1600,0,1999,0,98002,47.284,-122.202,2100,7711
111,15111,1231000660,20140521T000000,525000,3,1,1450,4000,1,0,1,4,8,950,500,1948,0,98118,47.5554,-122.266,1880,4000
112,15112,9558900010,20141006T000000,549950,3,2.5,2680,5860,2,0,0,3,8,2680,0,2001,0,98011,47.7557,-122.223,2680,5860
113,15113,3897100170,20140827T000000,370000,3,1.75,1150,6600,1.5,,0,4,6,1150,0,1970,0,98033,47.6709,-122.185,1530,6600
114,15114,1150700170,20140926T000000,299000,4,2.25,1870,6693,2,0,0,3,7,1870,0,1996,0,98003,47.2774,-122.299,1650,6518
115,15115,2769600305,20150115T000000,715000,6,2.75,3400,5000,2,0,2,3,8,2860,540,1977,0,98107,47.6728,-122.362,1800,5000
116,15116,3876001330,20150424T000000,430000,4,1.5,1810,7200,1,,0,3,7,1810,0,1966,0,98034,47.7207,-122.186,2060,7200
117,15117,984220290,,345000,3,1.75,1860,7191,1,0,0,4,7,1260,600,1975,0,98058,47.4338,-122.168,1850,7490
118,15118,3616600250,20140527T000000,1600000,3,3.25,3790,19000,2,0,4,3,10,3790,0,1985,0,98177,47.724,-122.373,2740,18628
119,15119,1529200480,20140518T000000,534640,3,2.5,2130,3500,1,,0,4,8,1210,920,1994,0,98072,47.736,-122.159,2030,3710
120,15120,2533300680,20141007T000000,1225000,3,2.5,2860,4500,2,0,2,3,8,1980,880,1915,0,98119,47.6463,-122.371,2310,4500
121,15121,6752600130,20150413T000000,351000,4,2.5,2370,7274,2,0,0,3,7,2370,0,1997,0,98031,47.3982,-122.171,2090,7656
122,15122,9332800020,20140715T000000,745000,4,2.25,2290,10409,2,0,0,3,8,2290,0,1972,0,98005,47.6351,-122.168,2040,10409
123,15123,1121000095,20141105T000000,320000,2,1,1120,5329,1,0,1,3,6,750,370,1929,0,98126,47.5421,-122.378,1530,5330
124,15124,6751500285,20140731T000000,555700,3,2,1810,12420,1,0,0,4,7,1810,0,1957,0,98008,47.5888,-122.127,2230,12330
125,15125,1310370020,20140708T000000,690000,4,2.5,3220,35400,2,0,,3,9,3220,0,1991,0,98072,47.7547,-122.114,3050,35252
126,15126,4019300680,,449000,3,1.75,1660,9697,1,0,0,,7,1660,0,1952,0,98155,47.7564,-122.286,2060,20624
127,15127,4408100095,20140502T000000,308500,2,1,850,6174,1,0,0,4,7,850,0,1950,0,98155,47.7352,-122.328,1100,6174
128,15128,8944460020,,340000,4,2.5,2665,5868,2,0,0,3,9,2665,0,2006,0,98030,47.3831,-122.185,2665,6092
129,15129,8824900020,20150327T000000,937750,4,2.75,2580,3560,1.5,0,0,5,7,1710,870,1917,0,98115,47.6753,-122.304,1980,3800
130,15130,7135520780,20140506T000000,725126,4,2.5,3200,12369,2,0,0,3,10,3200,0,1998,0,98059,47.5273,-122.143,3770,12960
131,15131,179001101,20150105T000000,135000,3,1,840,3000,1,0,0,3,5,840,0,1943,0,98178,47.494,-122.275,1010,6000
132,15132,4177100005,20150403T000000,635000,4,2.5,2970,7961,1,0,0,3,8,2020,950,1969,0,98125,47.7118,-122.29,1410,7959
133,15133,910000104,20140806T000000,245500,2,1,790,7500,1,0,0,3,6,790,0,1950,0,98011,47.7644,-122.198,1970,8970
134,15134,3353400840,20141202T000000,230000,6,1.5,2140,36509,1.5,0,0,4,8,2140,0,1903,1979,98001,47.2668,-122.252,1710,12000
135,15135,8964800050,20150304T000000,1770000,3,2.5,2580,14603,1,0,2,4,9,2580,0,1951,0,98004,47.6199,-122.212,2410,14347
136,15136,726049217,20141110T000000,425000,5,2.5,2180,7875,1,0,0,4,7,1200,980,1955,0,98133,47.7543,-122.341,1840,5105
137,15137,2926049376,20150420T000000,220000,2,1,,,1.5,0,0,3,7,1060,0,1965,0,98125,47.705,-122.313,2240,10200
138,15138,5589300715,20140829T000000,370000,3,2,1860,9100,1.5,0,0,3,8,1860,0,1939,2006,98155,47.7522,-122.304,1620,9519
139,15139,7229900285,,390000,3,2,1840,16815,1,0,0,5,7,960,880,1972,0,98059,47.4837,-122.11,1810,16732
140,15140,2722059215,20140603T000000,,3,1.75,1340,16480,1,0,0,4,7,1340,0,1968,0,98042,47.364,-122.162,1520,10451
141,15141,2473372040,20150102T000000,345000,4,2.25,2320,7350,2,0,0,3,8,2320,0,1973,0,98058,47.4512,-122.131,2170,7350
142,15142,3546000630,20140826T000000,289000,3,2.5,2110,8304,1,0,0,4,7,2110,0,1985,0,98030,47.3558,-122.173,1680,7508
143,15143,7888400500,,285000,5,1.5,1840,8050,1.5,0,0,4,7,1840,0,1962,0,98198,47.3668,-122.312,1690,8151
144,15144,1823049182,20140915T000000,147400,3,2,1080,9225,1,0,0,2,7,1080,0,1955,0,98146,47.4842,-122.346,1410,9840
145,15145,8712100020,20150127T000000,,2,1,1290,4636,1,,,3,7,1290,0,1924,0,98112,47.6393,-122.301,1940,4635
146,15146,7961500010,20140806T000000,245000,3,2.25,,,1,0,0,3,7,1540,670,1967,0,98178,47.4911,-122.224,2230,10753
147,15147,7961500010,20150304T000000,520000,3,2.25,2210,10794,1,0,0,3,7,1540,670,1967,0,98178,47.4911,-122.224,2230,10753
148,15148,2424400130,20140518T000000,352500,3,2.25,1410,14110,1,0,2,3,7,1170,240,1987,0,98065,47.5336,-121.76,1560,18336
149,15149,9406510130,20150505T000000,,5,3.5,3740,24684,2,0,0,3,9,2760,980,1998,0,98038,47.3832,-122.057,2880,26023
150,15150,3832700250,20140929T000000,,4,2.75,2440,7150,1,0,0,3,7,1200,1240,1963,1985,98032,47.3662,-122.282,1790,7150
151,15151,809000525,20140826T000000,872500,3,2.5,2040,6000,1,0,0,3,8,1840,200,1951,0,98109,47.6334,-122.35,1820,4920
152,15152,1370800225,20150318T000000,2152500,4,3.25,3840,6214,1.5,0,3,4,10,2590,1250,1939,0,98199,47.6388,-122.406,3280,5915
153,15153,3388100020,20140812T000000,225000,3,1.5,1660,7221,1,0,0,3,7,980,680,1962,0,98168,47.4962,-122.32,1770,8083
154,15154,2770604615,20141121T000000,735000,4,2,1640,6000,1.5,0,0,4,9,1640,0,1911,0,98119,47.6505,-122.375,1900,6000
155,15155,3754700420,20150401T000000,375000,3,1,1310,8400,1,0,0,3,7,1310,0,1972,1989,98034,47.7253,-122.197,1680,8000
156,15156,6669020290,20141023T000000,169000,3,1.75,1720,9775,1,0,0,3,8,1720,0,1978,0,98032,47.3731,-122.286,1970,8400
157,15157,6669020290,20150304T000000,279950,3,1.75,1720,9775,1,0,0,3,8,1720,0,1978,0,98032,47.3731,-122.286,1970,8400
158,15158,5493110020,20150116T000000,1950000,4,2.75,4020,18745,2,0,4,4,10,2830,1190,1989,0,98004,47.6042,-122.21,3150,20897
159,15159,6064800470,20140805T000000,310000,3,2.25,1960,2345,2,0,0,3,7,1750,210,2003,0,98118,47.5419,-122.288,1760,1958
160,15160,9304400010,,975000,4,2.5,3240,35083,2,0,0,4,9,3240,0,1978,0,98005,47.6337,-122.154,3340,24501
161,15161,5566100170,20141029T000000,650000,10,2,3610,11914,2,0,0,4,7,3010,600,1958,0,98006,47.5705,-122.175,2040,11914
162,15162,3025049028,20141216T000000,930000,2,1.5,1800,4500,1,0,2,3,7,1000,800,1942,0,98109,47.6305,-122.347,2270,3840
163,15163,2848700095,20150402T000000,412000,4,1.5,1960,5000,1,0,0,3,7,980,980,1912,0,98106,47.5688,-122.363,1300,5000
164,15164,2172000894,20150417T000000,225000,3,1,1250,10200,1,0,0,3,6,1250,0,1965,0,98178,47.4902,-122.256,1800,8283
165,15165,3034200660,20140619T000000,507000,3,2.5,2120,7201,2,0,0,3,8,2120,0,2003,0,98133,47.7174,-122.337,1930,7206
166,15166,3304700130,,1755000,4,4,3860,67953,2,0,2,4,12,3860,0,1927,0,98177,47.7469,-122.378,4410,128066
167,15167,6661200080,20141117T000000,230000,3,2.5,1340,3011,2,0,0,3,7,1340,0,1995,0,98038,47.3839,-122.038,1060,3232
168,15168,8835800480,20150223T000000,316000,1,2,1780,188465,2,0,0,3,10,1780,0,2001,0,98045,47.4506,-121.768,1780,21094
169,15169,7853430660,20140910T000000,616200,5,3.25,3920,4832,2,0,0,3,9,3030,890,2014,0,98065,47.5202,-121.885,2660,4832
170,15170,7511200020,,509900,3,1.75,1690,53578,1,,0,3,8,1690,0,1984,0,98053,47.6546,-122.049,2290,52707
171,15171,2597670080,20150316T000000,370000,4,2.5,2570,7753,2,0,0,3,8,2570,0,1987,0,98058,47.4237,-122.162,2140,7615
172,15172,2423010130,20150306T000000,619100,3,1.75,1870,7030,1,0,0,3,7,1870,0,1977,0,98033,47.6999,-122.17,1820,7500
173,15173,2927600415,,805000,3,2.25,2860,11250,1,0,1,5,8,2290,570,1956,0,98166,47.4534,-122.372,2030,11250
174,15174,2770604665,20150202T000000,612125,2,1.5,1670,6000,1,0,0,3,7,1090,580,1950,0,98119,47.6517,-122.374,1670,6000
175,15175,425049181,20140912T000000,350000,2,1.5,1070,937,3,0,0,3,8,1070,0,2003,0,98115,47.6761,-122.3,1100,3200
176,15176,3223059217,20141104T000000,225000,2,1,940,15000,1,0,0,3,7,940,0,1960,0,98055,47.4312,-122.195,1450,15000
177,15177,6669240130,,335000,3,2.5,2588,5701,2,0,0,3,8,2588,0,2008,0,98042,47.3449,-122.151,2389,5702
178,15178,3303960080,20150331T000000,972800,5,3.25,3500,10457,2,0,0,3,11,3500,0,2001,0,98059,47.5198,-122.157,3500,11734
179,15179,2413910190,20150202T000000,500000,3,1.75,1690,48096,1,0,0,3,7,1690,0,1973,0,98053,47.6745,-122.061,2070,35160
180,15180,9185700285,20141223T000000,2200000,4,3.75,3790,7200,2,,0,3,10,2530,1260,1931,0,98112,47.6264,-122.289,3250,7200
181,15181,4040800050,20141119T000000,415000,3,1.5,1090,8400,1,0,0,4,7,1090,0,1966,0,98008,47.6219,-122.115,1320,8400
182,15182,3438500742,20140826T000000,399000,3,3,2240,10479,2,0,0,4,7,1710,530,1950,0,98106,47.5529,-122.356,1530,5244
183,15183,2326300010,20140520T000000,376000,2,1,1150,4000,1,,0,3,7,1150,0,1947,0,98199,47.6575,-122.394,1150,4288
184,15184,4322200050,20141217T000000,340000,3,2,1870,3378,1,0,0,3,7,1120,750,1913,0,98136,47.5371,-122.393,1870,1872
185,15185,6403510130,20141114T000000,490000,5,2.75,2990,7200,2,0,0,3,8,2990,0,1997,0,98059,47.4955,-122.16,2710,7620
186,15186,4307340130,20140622T000000,374000,4,2.5,2580,6260,2,0,0,3,7,2580,0,2004,0,98056,47.4858,-122.185,2160,3600
187,15187,7237600130,20150326T000000,852000,4,1,2220,3588,1.5,0,0,4,7,1470,750,1927,0,98115,47.6854,-122.308,1740,3588
188,15188,5706300020,20141125T000000,473000,3,2.25,1620,12309,2,0,0,3,7,1620,0,1987,0,98074,47.6188,-122.029,2030,13963
189,15189,6446200050,20150504T000000,540000,3,1.75,2590,25992,1,0,0,3,8,1970,620,1968,0,98029,47.5521,-122.03,2590,29250
190,15190,7744500020,20140826T000000,431000,2,2,1390,12530,1,0,0,3,8,970,420,1959,0,98155,47.7499,-122.29,1940,12530
191,15191,3971700635,20150506T000000,435000,4,3,2270,7245,1,0,0,3,7,1410,860,1979,0,98155,47.7722,-122.315,1740,7571
192,15192,3625059109,20140508T000000,1051000,4,3,2920,33976,1,0,3,5,8,1460,1460,1964,0,98008,47.6164,-122.104,2970,15210
193,15193,6379500216,20140513T000000,450000,3,2.75,1250,892,2,0,0,3,8,1040,210,2010,0,98116,47.5826,-122.387,1250,1296
194,15194,1123049027,20150319T000000,157500,3,1,1100,27008,1,0,0,3,6,960,140,1935,0,98178,47.4963,-122.249,1280,8890
195,15195,1938400010,20141217T000000,244000,3,1.75,1500,7475,1,0,0,4,8,1500,0,1976,0,98023,47.3155,-122.365,1940,7475
196,15196,3204900010,20150211T000000,550000,3,2.5,2800,10603,2,0,0,3,9,2800,0,2001,0,98011,47.7528,-122.195,2580,10603
197,15197,6979900010,20140905T000000,975000,4,2.5,3420,183387,2,0,0,3,10,3420,0,2000,0,98053,47.633,-121.972,2260,34613
