,position,annual_salary_usd,date_hired,annual_salary_php,monthly_salary_php,years_exp
195,Medical Officer (psychiatry),151288.0,2007,7564400.0,630366.67,8
196,Medical Officer (psychiatry),151288.0,2006,7564400.0,630366.67,9
197,Medical Officer (psychiatry),151288.0,2006,7564400.0,630366.67,9
198,Medical Officer (psychiatry),151288.0,2005,7564400.0,630366.67,10
201,Deputy Director,126485.0294117647,2001,6324251.470588235,527020.96,14
202,Attorney Advisor,150326.0,1981,7516300.0,626358.33,34
207,Director,150000.0,1986,7500000.0,625000.0,29
211,Director,150000.0,1996,7500000.0,625000.0,19
212,Director,150000.0,2010,7500000.0,625000.0,5
213,Professor,150000.0,1988,7500000.0,625000.0,27
216,Director,150000.0,1985,7500000.0,625000.0,30
217,Attorney Advisor,150000.0,2011,7500000.0,625000.0,4
219,Attorney Advisor,149913.0,2003,7495650.0,624637.5,12
236,Director,148390.0,1999,7419500.0,618291.67,16
237,Attorney Advisor,148065.0,2001,7403250.0,616937.5,14
239,Deputy Director,148000.0,2007,7400000.0,616666.67,8
240,Attorney Advisor,113162.01369863014,1996,5658100.684931506,471508.39,19
241,Medical Officer (psychiatry),147909.0,2010,7395450.0,616287.5,5
242,Chief Of Staff,147681.0,1991,7384050.0,615337.5,24
246,Medical Officer (psychiatry),147599.0,2002,7379950.0,614995.83,13
247,Attorney Advisor,147580.0,2000,7379000.0,614916.67,15
251,Attorney Advisor,147387.0,1991,7369350.0,614112.5,24
252,Attorney Advisor,147386.0,1999,7369300.0,614108.33,16
254,Attorney Advisor,147385.0,1998,7369250.0,614104.17,17
255,Attorney Advisor,113162.01369863014,1979,5658100.684931506,471508.39,36
256,Attorney Advisor,147385.0,2003,7369250.0,614104.17,12
257,Attorney Advisor,147385.0,1962,7369250.0,614104.17,53
258,Attorney Advisor,113162.01369863014,1965,5658100.684931506,471508.39,50
259,Trial Attorney,147385.0,1974,7369250.0,614104.17,41
260,Trial Attorney,147385.0,2002,7369250.0,614104.17,13
261,Trial Attorney,100709.20261437909,1979,5035460.130718954,419621.68,36
262,Attorney Advisor,147385.0,1999,7369250.0,614104.17,16
267,Attorney Advisor,146935.0,1986,7346750.0,612229.17,29
270,Special Assistant,146501.0,2007,7325050.0,610420.83,8
280,Information Technology Specialist,146226.0,2011,7311300.0,609275.0,4
290,Attorney Advisor,146226.0,1998,7311300.0,609275.0,17
296,Attorney Advisor,113162.01369863014,2008,5658100.684931506,471508.39,7
299,Deputy Director,145550.0,1989,7277500.0,606458.33,26
301,Attorney Advisor,145370.0,1988,7268500.0,605708.33,27
303,Attorney Advisor,145000.0,1987,7250000.0,604166.67,28
307,Director,145000.0,2011,7250000.0,604166.67,4
309,Professor,145000.0,2000,7250000.0,604166.67,15
310,Director,145000.0,2010,7250000.0,604166.67,5
311,Professor,145000.0,1996,7250000.0,604166.67,19
312,Professor,145000.0,1992,7250000.0,604166.67,23
313,Professor,145000.0,1993,7250000.0,604166.67,22
314,Professor,145000.0,1989,7250000.0,604166.67,26
315,Professor,145000.0,1988,7250000.0,604166.67,27
316,Director,145000.0,2010,7250000.0,604166.67,5
319,Attorney Advisor,113162.01369863014,1985,5658100.684931506,471508.39,30
322,Medical Officer (psychiatry),158482.0909090909,2008,7924104.545454546,660342.05,7
323,Medical Officer (psychiatry),143999.0,2005,7199950.0,599995.83,10
324,Medical Officer (psychiatry),158482.0909090909,2005,7924104.545454546,660342.05,10
325,Medical Officer (psychiatry),143999.0,2000,7199950.0,599995.83,15
326,Deputy Director,143961.0,2009,7198050.0,599837.5,6
327,Attorney Advisor,143876.0,1998,7193800.0,599483.33,17
333,Deputy Director,143635.0,2005,7181750.0,598479.17,10
338,Attorney Advisor,143607.0,1993,7180350.0,598362.5,22
339,Attorney Advisor,143606.0,1979,7180300.0,598358.33,36
340,Trial Attorney,143606.0,1985,7180300.0,598358.33,30
342,Attorney Advisor,143606.0,1991,7180300.0,598358.33,24
343,Attorney Advisor,143606.0,2000,7180300.0,598358.33,15
344,Attorney Advisor,113162.01369863014,2001,5658100.684931506,471508.39,14
351,Attorney Advisor,142668.0,2009,7133400.0,594450.0,6
352,Director,142625.0,2000,7131250.0,594270.83,15
354,Director,142000.0,2010,7100000.0,591666.67,5
355,Attorney Advisor,141812.0,1998,7090600.0,590883.33,17
356,Attorney Advisor,141718.0,1984,7085900.0,590491.67,31
357,Attorney Advisor,141718.0,1979,7085900.0,590491.67,36
358,Attorney Advisor,141492.0,1988,7074600.0,589550.0,27
359,Attorney Advisor,113162.01369863014,2007,5658100.684931506,471508.39,8
360,Attorney Advisor,141492.0,1999,7074600.0,589550.0,16
361,Attorney Advisor,141284.0,1991,7064200.0,588683.33,24
362,Chief Of Staff,140800.0,1993,7040000.0,586666.67,22
363,Administrative Officer,140548.0,1982,7027400.0,585616.67,33
366,Director,140441.0,2011,7022050.0,585170.83,4
370,Director,140005.0,1998,7000250.0,583354.17,17
374,Attorney Advisor,140000.0,2011,7000000.0,583333.33,4
375,Director,140000.0,2007,7000000.0,583333.33,8
377,Director,140000.0,2008,7000000.0,583333.33,7
380,Director,140000.0,2011,7000000.0,583333.33,4
382,Special Assistant,140000.0,2009,7000000.0,583333.33,6
384,Deputy Director,140000.0,2010,7000000.0,583333.33,5
385,Trial Attorney,139827.0,1991,6991350.0,582612.5,24
386,Trial Attorney,139827.0,1993,6991350.0,582612.5,22
387,Trial Attorney,139827.0,2001,6991350.0,582612.5,14
388,Trial Attorney,139827.0,1987,6991350.0,582612.5,28
389,Trial Attorney,139827.0,1987,6991350.0,582612.5,28
390,Trial Attorney,139827.0,1994,6991350.0,582612.5,21
391,Trial Attorney,139827.0,1995,6991350.0,582612.5,20
392,Director,139780.0,2008,6989000.0,582416.67,7
395,Director,139780.0,2008,6989000.0,582416.67,7
396,Deputy Director,139395.0,2006,6969750.0,580812.5,9
399,Attorney Advisor,139309.0,1991,6965450.0,580454.17,24
400,Attorney Advisor,138556.0,1998,6927800.0,577316.67,17
402,Administrative Law Judge,138550.0,2001,6927500.0,577291.67,14
410,Deputy Director,138000.0,2008,6900000.0,575000.0,7
411,Attorney Advisor,137894.0,1992,6894700.0,574558.33,23
414,Program Manager,137599.0,2008,6879950.0,573329.17,7
416,Program Manager,137599.0,1992,6879950.0,573329.17,23
417,Director,137599.0,2009,6879950.0,573329.17,6
418,Attorney Advisor,137582.0,2006,6879100.0,573258.33,9
419,Information Technology Specialist,98113.80601092897,2010,4905690.300546449,408807.53,5
421,Attorney Advisor,137442.0,2001,6872100.0,572675.0,14
422,Attorney Advisor,137182.0,1998,6859100.0,571591.67,17
423,Director,137010.0,2010,6850500.0,570875.0,5
425,Program Manager,136763.0,2002,6838150.0,569845.83,13
427,Information Technology Specialist,136739.0,1999,6836950.0,569745.83,16
430,Information Technology Specialist,136128.0,2004,6806400.0,567200.0,11
431,Chief Of Staff,120027.70731707317,2002,6001385.365853659,500115.45,13
432,Attorney Advisor,136048.0,1999,6802400.0,566866.67,16
433,Trial Attorney,136048.0,1999,6802400.0,566866.67,16
434,Trial Attorney,136048.0,1997,6802400.0,566866.67,18
436,Attorney Advisor,136048.0,1985,6802400.0,566866.67,30
437,Trial Attorney,136048.0,1990,6802400.0,566866.67,25
440,Deputy Director,135983.0,2005,6799150.0,566595.83,10
451,Civil Engineer,135449.0,2004,6772450.0,564370.83,11
452,Director,135000.0,1999,6750000.0,562500.0,16
453,Attorney Advisor,135000.0,2011,6750000.0,562500.0,4
454,Deputy Director,135000.0,2004,6750000.0,562500.0,11
455,Director,135000.0,1997,6750000.0,562500.0,18
456,Director,135000.0,2010,6750000.0,562500.0,5
463,Trial Attorney,134450.0,1979,6722500.0,560208.33,36
465,Information Technology Specialist,134160.0,2008,6708000.0,559000.0,7
475,Information Technology Specialist,133855.0,2008,6692750.0,557729.17,7
486,Information Technology Specialist,133855.0,2008,6692750.0,557729.17,7
487,Information Technology Specialist,133855.0,2006,6692750.0,557729.17,9
495,Medical Officer (psychiatry),133596.0,1997,6679800.0,556650.0,18
499,Administrative Law Judge,133000.0,1997,6650000.0,554166.67,18
500,Director,117320.62765957447,2008,5866031.382978723,488835.95,7
501,Administrative Law Judge,133000.0,2004,6650000.0,554166.67,11
502,Administrative Law Judge,133000.0,2004,6650000.0,554166.67,11
503,Administrative Law Judge,133000.0,2005,6650000.0,554166.67,10
504,Administrative Law Judge,133000.0,2006,6650000.0,554166.67,9
505,Administrative Law Judge,133000.0,2004,6650000.0,554166.67,11
506,Contract Specialist,132925.0,1984,6646250.0,553854.17,31
511,Information Technology Specialist,132451.0,2004,6622550.0,551879.17,11
512,Attorney Advisor,132269.0,1999,6613450.0,551120.83,16
513,Attorney Advisor,132269.0,1997,6613450.0,551120.83,18
514,Attorney Advisor,132269.0,1999,6613450.0,551120.83,16
515,Trial Attorney,132269.0,2007,6613450.0,551120.83,8
516,Attorney Advisor,132269.0,1993,6613450.0,551120.83,22
517,Trial Attorney,132269.0,2001,6613450.0,551120.83,14
518,Attorney Advisor,132242.0,2005,6612100.0,551008.33,10
528,Chief Of Staff,132000.0,1995,6600000.0,550000.0,20
530,Attorney Advisor,131760.0,1992,6588000.0,549000.0,23
534,Attorney Advisor,131551.0,1991,6577550.0,548129.17,24
536,Chief Of Staff,131500.0,2004,6575000.0,547916.67,11
538,Civil Engineer,131188.0,2004,6559400.0,546616.67,11
541,Information Technology Specialist,130881.0,2006,6544050.0,545337.5,9
544,Director,130874.0,2009,6543700.0,545308.33,6
545,Information Technology Specialist,130847.0,2006,6542350.0,545195.83,9
546,Director,130625.0,2005,6531250.0,544270.83,10
547,Deputy Director,130625.0,2005,6531250.0,544270.83,10
548,Attorney Advisor,130548.0,1995,6527400.0,543950.0,20
551,Deputy Director,130530.0,1996,6526500.0,543875.0,19
557,Attorney Advisor,130416.0,2006,6520800.0,543400.0,9
558,Attorney Advisor,130000.0,2009,6500000.0,541666.67,6
559,Program Manager,130000.0,2010,6500000.0,541666.67,5
560,Deputy Director,130000.0,1997,6500000.0,541666.67,18
565,Attorney Advisor,130000.0,2008,6500000.0,541666.67,7
567,Project Manager,130000.0,2009,6500000.0,541666.67,6
568,Attorney Advisor,130000.0,2000,6500000.0,541666.67,15
571,Chief Of Staff,130000.0,2008,6500000.0,541666.67,7
575,Attorney Advisor,130000.0,1984,6500000.0,541666.67,31
576,Deputy Director,130000.0,2003,6500000.0,541666.67,12
578,Attorney Advisor,130000.0,2007,6500000.0,541666.67,8
580,Attorney Advisor,129750.0,2008,6487500.0,540625.0,7
586,Administrative Law Judge,129325.0,1996,6466250.0,538854.17,19
587,Administrative Law Judge,129325.0,2007,6466250.0,538854.17,8
588,Administrative Law Judge,129325.0,2005,6466250.0,538854.17,10
589,Administrative Law Judge,129325.0,2005,6466250.0,538854.17,10
590,Administrative Law Judge,129325.0,2007,6466250.0,538854.17,8
591,Administrative Law Judge,129325.0,2001,6466250.0,538854.17,14
592,Administrative Law Judge,129325.0,1986,6466250.0,538854.17,29
593,Administrative Law Judge,129325.0,2005,6466250.0,538854.17,10
594,Administrative Law Judge,129325.0,2004,6466250.0,538854.17,11
595,Administrative Law Judge,129325.0,2005,6466250.0,538854.17,10
596,Administrative Law Judge,129325.0,1984,6466250.0,538854.17,31
597,Administrative Law Judge,129325.0,2005,6466250.0,538854.17,10
598,Administrative Law Judge,129325.0,2007,6466250.0,538854.17,8
599,Administrative Law Judge,129325.0,2002,6466250.0,538854.17,13
600,Administrative Law Judge,129325.0,2005,6466250.0,538854.17,10
601,Administrative Law Judge,129325.0,2006,6466250.0,538854.17,9
602,Administrative Law Judge,129325.0,1978,6466250.0,538854.17,37
603,Administrative Law Judge,129325.0,1988,6466250.0,538854.17,27
604,Administrative Law Judge,129325.0,2005,6466250.0,538854.17,10
605,Administrative Law Judge,129325.0,2006,6466250.0,538854.17,9
606,Administrative Law Judge,129325.0,2004,6466250.0,538854.17,11
607,Administrative Law Judge,129325.0,2005,6466250.0,538854.17,10
608,Administrative Law Judge,129325.0,2008,6466250.0,538854.17,7
609,Administrative Law Judge,129325.0,2005,6466250.0,538854.17,10
610,Chief Of Staff,129304.0,2004,6465200.0,538766.67,11
611,Information Technology Specialist,129083.0,1979,6454150.0,537845.83,36
612,Information Technology Specialist,129083.0,2001,6454150.0,537845.83,14
614,Attorney Advisor,128851.0,1998,6442550.0,536879.17,17
616,Deputy Director,128773.0,1990,6438650.0,536554.17,25
620,Trial Attorney,128490.0,2001,6424500.0,535375.0,14
621,Trial Attorney,128490.0,1994,6424500.0,535375.0,21
622,Trial Attorney,128490.0,1999,6424500.0,535375.0,16
623,Trial Attorney,128490.0,1999,6424500.0,535375.0,16
624,Attorney Advisor,128490.0,2009,6424500.0,535375.0,6
625,Trial Attorney,128490.0,1987,6424500.0,535375.0,28
626,Trial Attorney,128490.0,1998,6424500.0,535375.0,17
642,Battalion Fire Chief,127735.0,1981,6386750.0,532229.17,34
643,Battalion Fire Chief,127735.0,1981,6386750.0,532229.17,34
644,Battalion Fire Chief,127735.0,1981,6386750.0,532229.17,34
645,Battalion Fire Chief,127735.0,1981,6386750.0,532229.17,34
651,Special Assistant,127500.0,2007,6375000.0,531250.0,8
652,Management Analyst,127468.0,2007,6373400.0,531116.67,8
653,Information Technology Specialist,127468.0,2008,6373400.0,531116.67,7
654,Information Technology Specialist,127468.0,2008,6373400.0,531116.67,7
655,Deputy Director,127312.0,2002,6365600.0,530466.67,13
656,Principal,127257.0,1989,6362850.0,530237.5,26
661,Deputy Director,127207.0,2006,6360350.0,530029.17,9
670,Attorney Advisor,127198.0,1991,6359900.0,529991.67,24
671,Attorney Advisor,127182.0,1994,6359100.0,529925.0,21
674,Attorney Advisor,127156.0,1986,6357800.0,529816.67,29
675,Attorney Advisor,127088.0,2007,6354400.0,529533.33,8
677,Director,127000.0,2010,6350000.0,529166.67,5
684,Information Technology Specialist,126582.0,2004,6329100.0,527425.0,11
688,Special Assistant,126250.0,2009,6312500.0,526041.67,6
689,Special Assistant,126250.0,2007,6312500.0,526041.67,8
690,Special Assistant,126250.0,2010,6312500.0,526041.67,5
691,Special Assistant,126250.0,2004,6312500.0,526041.67,11
701,Director,125695.0,2010,6284750.0,523729.17,5
703,Project Manager,125613.0,1998,6280650.0,523387.5,17
719,Information Technology Specialist,125377.0,2004,6268850.0,522404.17,11
720,Attorney Advisor,125301.0,1986,6265050.0,522087.5,29
721,Trial Attorney,125301.0,2008,6265050.0,522087.5,7
722,Attorney Advisor,125301.0,2004,6265050.0,522087.5,11
723,Chief Of Staff,125170.0,2006,6258500.0,521541.67,9
725,Information Technology Specialist,125000.0,2007,6250000.0,520833.33,8
728,Program Manager,125000.0,2006,6250000.0,520833.33,9
730,Budget Analyst,125000.0,2007,6250000.0,520833.33,8
735,Chief Of Staff,125000.0,2005,6250000.0,520833.33,10
736,Information Technology Specialist,125000.0,2008,6250000.0,520833.33,7
737,Attorney Advisor,125000.0,1994,6250000.0,520833.33,21
740,Special Assistant,125000.0,2011,6250000.0,520833.33,4
741,Information Technology Specialist,125000.0,2009,6250000.0,520833.33,6
745,Chief Of Staff,125000.0,2010,6250000.0,520833.33,5
746,Director,125000.0,2011,6250000.0,520833.33,4
747,Chief Of Staff,125000.0,2004,6250000.0,520833.33,11
748,Director,125000.0,2008,6250000.0,520833.33,7
751,Deputy Director,125000.0,1990,6250000.0,520833.33,25
753,Director,124735.0,2010,6236750.0,519729.17,5
754,Trial Attorney,124711.0,2009,6235550.0,519629.17,6
755,Attorney Advisor,124711.0,2010,6235550.0,519629.17,5
756,Attorney Advisor,124711.0,1988,6235550.0,519629.17,27
757,Trial Attorney,124711.0,2008,6235550.0,519629.17,7
758,Attorney Advisor,124711.0,2000,6235550.0,519629.17,15
760,Civil Engineer,124651.0,1985,6232550.0,519379.17,30
761,Civil Engineer,124650.0,1983,6232500.0,519375.0,32
787,Attorney Advisor,123548.0,1998,6177400.0,514783.33,17
788,Administrative Officer,123515.0,1993,6175750.0,514645.83,22
792,Attorney Advisor,123005.0,2003,6150250.0,512520.83,12
795,Attorney Advisor,122720.0,1999,6136000.0,511333.33,16
802,Battalion Fire Chief,122413.0,1986,6120650.0,510054.17,29
803,Battalion Fire Chief,122413.0,1982,6120650.0,510054.17,33
804,Battalion Fire Chief,122413.0,1985,6120650.0,510054.17,30
805,Battalion Fire Chief,122413.0,1986,6120650.0,510054.17,29
806,Battalion Fire Chief,122413.0,1985,6120650.0,510054.17,30
807,Battalion Fire Chief,122413.0,1986,6120650.0,510054.17,29
808,Battalion Fire Chief,122413.0,1986,6120650.0,510054.17,29
809,Battalion Fire Chief,122413.0,1983,6120650.0,510054.17,32
810,Battalion Fire Chief,122413.0,1986,6120650.0,510054.17,29
811,Battalion Fire Chief,122413.0,1985,6120650.0,510054.17,30
818,Attorney Advisor,122088.0,1997,6104400.0,508700.0,18
819,Attorney Advisor,122088.0,2003,6104400.0,508700.0,12
820,Project Manager,122018.0,2009,6100900.0,508408.33,6
821,Attorney Advisor,122000.0,2007,6100000.0,508333.33,8
823,Program Manager,122000.0,2009,6100000.0,508333.33,6
827,Information Technology Specialist,121758.0,2006,6087900.0,507325.0,9
837,Attorney Advisor,120932.0,2008,6046600.0,503883.33,7
838,Attorney Advisor,120932.0,2004,6046600.0,503883.33,11
840,Information Technology Specialist,120613.0,2009,6030650.0,502554.17,6
842,Information Technology Specialist,120612.0,2008,6030600.0,502550.0,7
845,Project Manager,120558.0,2008,6027900.0,502325.0,7
849,Deputy Director,120558.0,2011,6027900.0,502325.0,4
853,Information Technology Specialist,120558.0,2009,6027900.0,502325.0,6
855,Special Assistant,120558.0,1997,6027900.0,502325.0,18
857,Information Technology Specialist,120554.0,2006,6027700.0,502308.33,9
864,Trial Attorney,120485.0,1999,6024250.0,502020.83,16
865,Attorney Advisor,120485.0,2007,6024250.0,502020.83,8
866,Director,120175.0,2002,6008750.0,500729.17,13
868,Information Technology Specialist,120115.0,1978,6005750.0,500479.17,37
869,Special Assistant,120000.0,2011,6000000.0,500000.0,4
871,Auditor (tax),120000.0,2010,6000000.0,500000.0,5
872,Attorney Advisor,120000.0,2000,6000000.0,500000.0,15
873,Program Manager,120000.0,2008,6000000.0,500000.0,7
875,Attorney Advisor,120000.0,2007,6000000.0,500000.0,8
876,Special Assistant,120000.0,2011,6000000.0,500000.0,4
877,Information Technology Specialist,120000.0,2009,6000000.0,500000.0,6
878,Program Manager,120000.0,2009,6000000.0,500000.0,6
879,Program Manager,120000.0,2008,6000000.0,500000.0,7
880,Program Manager,120000.0,2008,6000000.0,500000.0,7
881,Program Manager,120000.0,2010,6000000.0,500000.0,5
886,Program Manager,120000.0,2011,6000000.0,500000.0,4
887,Attorney Advisor,120000.0,2008,6000000.0,500000.0,7
888,Special Assistant,120000.0,2008,6000000.0,500000.0,7
890,Attorney Advisor,120000.0,2010,6000000.0,500000.0,5
898,Chief Of Staff,120000.0,2011,6000000.0,500000.0,4
903,Deputy Director,119771.0,2001,5988550.0,499045.83,14
904,Attorney Advisor,119711.0,2000,5985550.0,498795.83,15
906,Attorney Advisor,119600.0,2004,5980000.0,498333.33,11
911,Principal,119038.0,2010,5951900.0,495991.67,5
916,Contract Specialist,118983.0,1983,5949150.0,495762.5,32
918,Program Manager,118983.0,1984,5949150.0,495762.5,31
920,Attorney Advisor,118875.0,2000,5943750.0,495312.5,15
921,Trial Attorney,118875.0,1995,5943750.0,495312.5,20
922,Attorney Advisor,118875.0,2007,5943750.0,495312.5,8
923,Trial Attorney,118875.0,1998,5943750.0,495312.5,17
924,Attorney Advisor,118875.0,1992,5943750.0,495312.5,23
925,Trial Attorney,118875.0,2004,5943750.0,495312.5,11
926,Trial Attorney,118875.0,2001,5943750.0,495312.5,14
928,Information Technology Specialist,118598.0,2008,5929900.0,494158.33,7
929,Information Technology Specialist,118598.0,1997,5929900.0,494158.33,18
930,Information Technology Specialist,118598.0,2009,5929900.0,494158.33,6
931,Information Technology Specialist,118598.0,1974,5929900.0,494158.33,41
932,Information Technology Specialist,118598.0,2009,5929900.0,494158.33,6
933,Information Technology Specialist,118598.0,1986,5929900.0,494158.33,29
934,Information Technology Specialist,118598.0,2008,5929900.0,494158.33,7
935,Information Technology Specialist,118598.0,2000,5929900.0,494158.33,15
936,Information Technology Specialist,118598.0,2001,5929900.0,494158.33,14
937,Information Technology Specialist,118598.0,2008,5929900.0,494158.33,7
938,Information Technology Specialist,118598.0,2009,5929900.0,494158.33,6
941,Information Technology Specialist,118598.0,2009,5929900.0,494158.33,6
942,Information Technology Specialist,118598.0,2009,5929900.0,494158.33,6
947,Chief Of Staff,118000.0,2006,5900000.0,491666.67,9
948,Attorney Advisor,118000.0,2004,5900000.0,491666.67,11
949,Attorney Advisor,118000.0,2005,5900000.0,491666.67,10
952,Program Manager,117942.0,2008,5897100.0,491425.0,7
962,Attorney Advisor,117395.0,1999,5869750.0,489145.83,16
964,Information Technology Specialist,117235.0,2006,5861750.0,488479.17,9
965,Contract Specialist,117235.0,2008,5861750.0,488479.17,7
967,Information Technology Specialist,117235.0,2010,5861750.0,488479.17,5
970,Information Technology Specialist,117235.0,2007,5861750.0,488479.17,8
976,Special Assistant,117235.0,1980,5861750.0,488479.17,35
977,Attorney Advisor,117196.0,2004,5859800.0,488316.67,11
978,Attorney Advisor,117196.0,1986,5859800.0,488316.67,29
979,Director,117160.0,2008,5858000.0,488166.67,7
980,Battalion Fire Chief,117091.0,1991,5854550.0,487879.17,24
981,Program Analyst,117057.0,1999,5852850.0,487737.5,16
982,Information Technology Specialist,117000.0,2007,5850000.0,487500.0,8
983,Information Technology Specialist,117000.0,2007,5850000.0,487500.0,8
988,Program Manager,116717.0,1996,5835850.0,486320.83,19
989,Civil Engineer,116717.0,1987,5835850.0,486320.83,28
990,Information Technology Specialist,116717.0,1998,5835850.0,486320.83,17
992,Information Technology Specialist,116511.0,2004,5825550.0,485462.5,11
993,Program Manager,116511.0,1993,5825550.0,485462.5,22
994,Information Technology Specialist,116511.0,2004,5825550.0,485462.5,11
997,Attorney Advisor,116480.0,2006,5824000.0,485333.33,9
998,Battalion Fire Chief,116360.0,1982,5818000.0,484833.33,33
999,Battalion Fire Chief,116360.0,1986,5818000.0,484833.33,29
1000,Battalion Fire Chief,116360.0,1984,5818000.0,484833.33,31
1001,Battalion Fire Chief,116360.0,2000,5818000.0,484833.33,15
1002,Battalion Fire Chief,116360.0,1985,5818000.0,484833.33,30
1003,Battalion Fire Chief,116360.0,1986,5818000.0,484833.33,29
1004,Battalion Fire Chief,116360.0,1986,5818000.0,484833.33,29
1008,Attorney Advisor,115662.0,2004,5783100.0,481925.0,11
1009,Trial Attorney,115662.0,2008,5783100.0,481925.0,7
1010,Trial Attorney,115662.0,2002,5783100.0,481925.0,13
1011,Attorney Advisor,115662.0,1997,5783100.0,481925.0,18
1012,Trial Attorney,115662.0,2010,5783100.0,481925.0,5
1013,Trial Attorney,115662.0,1998,5783100.0,481925.0,17
