Position,Annual Salary in Dollar,Date Hired
Medical Officer (psychiatry),158947,1993
Medical Officer (psychiatry),158711,2000
Medical Officer (psychiatry),,2004
Agency Chief Information Offic,158330,2005
Executive Director,158330,2009
Executive Director,158330,2004
Deputy Cfo,158330,1984
Dcfo & Treasurer,158330,1987
Health System Administrator,157976,1993
Commander,157556,1985
Commander,157556,1983
Commander,157556,1983
Deputy Fire Chief,156409,1973
Deputy Fire Chief,156409,1981
Deputy Fire Chief,156409,1977
Acting Director,155653,1984
Attorney Advisor,155653,1999
Attorney Advisor,155653,2002
Dir Of Dept Of Public Works,155573,2001
Medical Officer (psychiatry),155071,1998
Professor,,1988
Deputy Director,155000,2009
Chief Information Officer,155000,2011
Assistant Fire Chief Operations,154979,1982
Director,154500,2005
Dep Dir Portfolio Management Office,154500,2008
"Vice President, Gov Affairs",154429,1999
Vp Student Affairs,154429,2009
Chairperson,154366,2002
Medical Officer (psychiatry),154076,1987
Executive Director,154000,2006
Attorney Advisor,153900,2005
Medical Officer General Practi,153852,1990
Medical Officer General Practi,153852,2005
Medical Officer General Practi,153852,1987
Medical Officer General Practi,153852,2006
Medical Officer General Practi,153852,1997
Dir Campaign Finance,153593,1996
Attorney Advisor,153285,1998
Attorney Advisor,,1993
Attorney Advisor,153280,2011
Assistant Chief,152727,1982
Deputy Director,,2010
Deputy Director,152686,2008
Interim Dir,152686,2008
Deputy Director,152686,2007
Chief Compliance Officer,152686,1987
Chief Administrative Officer,,2007
Director,152686,2008
Supervisor Information Technol,152686,2001
Director,152686,2007
Director,152686,2009
"Assistant Supt, Elem & Secondary Ed",152686,2011
Director,152686,2000
Fusion Center Director,152686,2008
Executive Director,152686,1984
Executive Director,152686,2010
Chief Information Technology O,152686,2009
General Engineer,152671,1999
Assistant Superintendent,152561,2002
"Director, Revenue Accounting A",152240,1999
Budget Director,152240,2003
Deputy Cfo For Policy,,2001
Assoc Chief Financial Officer,152240,1976
Assoc Chief Financial Officer,152240,1996
Professor,152000,2009
Professor,152000,2003
Professor,152000,1988
Chief Of Staff,151833,2000
Medical Officer (psychiatry),151422,2009
Medical Officer (psychiatry),151422,2008
Medical Officer (psychiatry),151288,2007
Medical Officer (psychiatry),151288,2006
Medical Officer (psychiatry),151288,2006
Medical Officer (psychiatry),151288,2005
"Dir, Intercoll Athl",151010,2008
Chief Operating Officer,150811,1995
Deputy Director,,2001
Attorney Advisor,150326,1981
Medical Officer General Practi,150098,1998
Commander,150053,1989
Gen Counsel,150036,1983
Dep Dir For Medicaid Finance,150000,1999
Director,150000,1986
Commissioner Ins Sec&banking,150000,2003
Chief Administrative Judge,150000,2010
Chief Transportation Engineer,150000,2010
Director,150000,1996
Director,150000,2010
Professor,150000,1988
Laboratory Director,,2007
"Dep Dir For Policy, Perf & Trn",150000,2011
Director,150000,1985
Attorney Advisor,150000,2011
Chief Administrative Officer,150000,2005
Attorney Advisor,149913,2003
Deputy Fire Chief,149892,1981
Deputy Fire Chief,149892,1985
Chief Of Administrative Operations,149844,2008
Legal Advisor,149600,2000
Deputy Chief Technology Office,149435,2007
Agency Fiscal Officer,149159,2006
Fleet Management Administrator,149083,2006
Chief Medical Officer,149018,2000
Dir Pay & Retirement,,1993
Deputy Controller,148390,1997
Dir Of Operations,148390,1999
Chief Risk Officer,148390,2009
Dir Management & Admin,148390,1986
Deputy Chief Information Offic,148390,2009
Chief Financial Officer,148390,1986
Assoc Deputy Cfo Obp,148390,2000
Director,148390,1999
Attorney Advisor,148065,2001
Chief Risk Officer,148000,2006
Deputy Director,148000,2007
Attorney Advisor,,1996
Medical Officer (psychiatry),147909,2010
Chief Of Staff,147681,1991
Commander,147660,1988
Commander,147660,1989
Commander,147660,1987
Medical Officer (psychiatry),147599,2002
Attorney Advisor,147580,2000
Chief Financial Officer,147390,2004
Deputy Chief Financial Officer,,1998
Advisor & Director Econ,147390,1999
Attorney Advisor,147387,1991
Attorney Advisor,147386,1999
Deputy General Counsel,147386,2001
Attorney Advisor,147385,1998
Attorney Advisor,,1979
Attorney Advisor,147385,2003
Attorney Advisor,147385,1962
Attorney Advisor,,1965
Trial Attorney,147385,1974
Trial Attorney,147385,2002
Trial Attorney,,1979
Attorney Advisor,147385,1999
Acting Director,147345,2008
Dir Of Securities,,2000
Environ Protection Specialist,147220,1985
Solid Waste Management Admin,147083,1979
Attorney Advisor,146935,1986
"Director, Abra",146775,1999
Assistant Superintendent,146501,1976
Special Assistant,146501,2007
Assistant Superintendent,146501,2007
Compliance Coordinator,146501,2007
Assistant Superintendent,146501,1982
Deputy Dir For Workforce Dev,146500,2011
Commissioner,146457,2003
Commissioner,146457,2009
Gen Counsel,146448,1995
Chief Information Officer,146371,2001
Director Human Resource Manage,146300,1986
Information Technology Specialist,146226,2011
Assoc Gen Counsel,,2005
Dir Isa,146226,2004
Controller,146226,1989
Agency Fiscal Officer,146226,1974
Agency Fiscal Officer,146226,2005
Director Of Policy & Procedure,146226,1997
Program Officer,146226,2009
Controller,146226,1987
Dir Of Bud Exe Cost Analyst,146226,2000
Attorney Advisor,146226,1998
Deputy Dir Oprs,146226,1997
Agency Fiscal Officer,146226,2008
Agency Fiscal Officer,146226,1997
Agency Fiscal Officer,146226,2009
Financial Policy Adviso,146224,2005
Attorney Advisor,,2008
Environ Protection Specialist,146000,2008
Director Of Accountability,145834,2006
Deputy Director,145550,1989
Assistant Chief,145454,1994
Attorney Advisor,145370,1988
Medical Officer,145000,2009
Attorney Advisor,145000,1987
Dep Commiss For Market Compl,145000,1988
Dc Auditor,145000,2008
Acting Director,145000,2002
Director,145000,2011
Dir Of Student Transport Svcs,,2011
Professor,145000,2000
Director,145000,2010
Professor,145000,1996
Professor,145000,1992
Professor,145000,1993
Professor,145000,1989
Professor,145000,1988
Director,145000,2010
Assistant Superintendent,144986,2008
Administrative Judge,144670,2011
Attorney Advisor,,1985
Chief Information Officer,144115,2005
Administrative Judge,144000,2011
Medical Officer (psychiatry),,2008
Medical Officer (psychiatry),143999,2005
Medical Officer (psychiatry),,2005
Medical Officer (psychiatry),143999,2000
Deputy Director,143961,2009
Attorney Advisor,143876,1998
Dir Of Financial Operations,143635,1997
Assoc Treasurer,143635,2008
Chief Counsel,143635,2006
"Director, Financial Management",143635,2003
Dir Of Econ Affairs,143635,2001
Deputy Director,143635,2005
Payroll Pmo Dir,143635,2004
Agency Fiscal Officer,143635,1977
Budget Dir,143635,1997
Controller,143635,1985
Attorney Advisor,143607,1993
Attorney Advisor,143606,1979
Trial Attorney,143606,1985
Attorney Advisor,143606,
Attorney Advisor,143606,1991
Attorney Advisor,143606,2000
Attorney Advisor,,2001
Associate Commissioner For Ins,143341,2000
Dir Of Planning,143018,2007
"Director, Ofc Of Human Rights",143018,2003
Banking Director,143000,2005
Health Care Program Manager,143000,2007
Medical Officer,142866,1984
Attorney Advisor,142668,2009
Director,142625,2000
Dir Of Contracts And Procureme,142389,2004
Director,142000,2010
Attorney Advisor,141812,1998
Attorney Advisor,141718,1984
Attorney Advisor,141718,1979
Attorney Advisor,141492,1988
Attorney Advisor,,2007
Attorney Advisor,141492,1999
Attorney Advisor,141284,1991
Chief Of Staff,140800,1993
Administrative Officer,140548,1982
Deputy Fire Chief,140479,1986
Deputy Fire Chief,,1985
Director,140441,2011
Assistant Superintendent,140441,1985
Administrtor (parking Enforcem,140070,1999
"Dep Dir, Contract & Procure",140030,2005
Director,140005,1998
Health Care Program Manager,140000,2011
Gen Engineer,140000,2008
Chief Nursing Executive,140000,2009
Attorney Advisor,140000,2011
Director,140000,2007
,140000,2010
Director,140000,2008
Dep Dir H'lth Reg & Licensi,140000,1990
Staff Attorney,140000,2010
Director,140000,2011
Deputy Chief Benefits Officer,140000,2011
Special Assistant,140000,2009
Director Policy & Program Dev & E,140000,2004
Deputy Director,140000,2010
Trial Attorney,139827,1991
Trial Attorney,139827,1993
Trial Attorney,139827,2001
Trial Attorney,139827,1987
Trial Attorney,139827,1987
Trial Attorney,139827,1994
Trial Attorney,139827,1995
Director,139780,2008
Agency Fiscal Officer,,2003
Deputy Assoc Gen Counsel,139780,1998
Director,139780,2008
Deputy Director,139395,2006
Dir Of Fraud,139395,2000
Dep Director For Stategic Plan,139321,2004
Attorney Advisor,139309,1991
Attorney Advisor,138556,1998
Executive Director,138550,2008
Administrative Law Judge,138550,2001
Executive Director,,1998
Commander,138389,1988
Commander,138389,1985
Commander,138389,1986
Commander,138389,1981
Chief Operating Officer,138288,1984
Director Of Facilities Project,138156,1998
Deputy Director,138000,2008
Attorney Advisor,137894,1992
Dental Officer,137784,1994
Chief Operating Officer,137782,1996
Program Manager,137599,2008
"Director, Nutrition Services",137599,2008
Program Manager,137599,1992
Director,137599,2009
Attorney Advisor,137582,2006
Information Technology Specialist,,2010
Interim Dir,137500,2002
Attorney Advisor,137442,2001
Attorney Advisor,137182,1998
Director,137010,2010
Interim Deputy Director,137000,2011
Program Manager,136763,2002
Admin,136739,1996
Information Technology Specialist,136739,1999
Dir For Planning,136739,2000
Director Of Human Resources,136471,1987
Information Technology Specialist,136128,2004
Chief Of Staff,,2002
Attorney Advisor,136048,1999
Trial Attorney,136048,1999
Trial Attorney,136048,1997
Environmental Protection,136048,1997
Attorney Advisor,136048,1985
Trial Attorney,136048,1990
Agency Chief Contracting Offic,136000,1983
Associate People's Cnsl For Op,136000,2000
Deputy Director,135983,2005
Agency Fiscal Officer,135925,1997
Fiscal & Legislative Analysis,135925,2006
Dir Accounting Ops,135925,1999
Agency Fiscal Officer,135925,2008
Dir Of Financial Operations,135925,1999
Director Of Revenue Estimation,135925,2009
Dir Compliance Admin,135925,2005
Director For Budget Administra,135925,2006
Agency Fiscal Officer,135925,2000
Dpty Exec Dir For Regulatory,135526,1990
Civil Engineer,135449,2004
Director,135000,1999
Attorney Advisor,135000,2011
Deputy Director,135000,2004
Director,135000,1997
Director,135000,2010
Chief Operating Officer,135000,2011
Public Affairs Specialist,135000,2008
Director Of Human Resources,135000,2009
Director Of Capital Constructi,135000,2003
Dir Trng And Tech Assistance,135000,2008
Assistant Peoples Counsel,134548,2006
Trial Attorney,134450,1979
Dpty Exec Dir For Admin,134197,2006
Information Technology Specialist,134160,2008
Deputy General Counsel,134000,2000
Executive Director,134000,2011
Staff Attorney,133900,2008
Budget Director,133855,2008
Financial Medicaid Anal,133855,2009
Assistant Gen Counsel,133855,2008
Assistant Gen Counsel,133855,2007
Accounting Officer,133855,2010
Deputy Dir Accounting Ops,133855,1998
Information Technology Specialist,133855,2008
Assistant Gen Counsel,133855,2009
"Chief, Assessment Services Div",133855,2008
Accounting Systems Analyst,133855,2011
Cash & Investment Manager,133855,2008
Agency Fiscal Officer,133855,1984
Dir Internal Audit,133855,1985
Chief Training Development,133855,2003
Agency Fiscal Officer,133855,1999
Assistant Gen Counsel,133855,2008
Agency Fiscal Officer,133855,1985
Information Technology Specialist,133855,2008
Information Technology Specialist,133855,2006
Dir Resources Mgmt,133855,1982
"Director, Communications & Mar",133855,1999
Policy Analyst,133855,2008
Public Affairs Officer,133848,2008
Program Analysis Officer,133712,1970
Support Services Specialist,133712,1978
Vital Records Officer Registra,133712,1982
Medical Officer (psychiatry),133596,1997
Medical Officer,133473,2000
Facilities Management Officer,133320,2000
Gen Counsel,133238,1991
Administrative Law Judge,133000,1997
Director,,2008
Administrative Law Judge,133000,2004
Administrative Law Judge,133000,2004
Administrative Law Judge,133000,2005
Administrative Law Judge,133000,2006
Administrative Law Judge,133000,2004
Contract Specialist,132925,1984
Chief Administrative Officer,,2002
Director Of Information System,132757,2003
Telecommunications Equip Opera,132674,2007
Microbiologist,132451,1998
Information Technology Specialist,132451,2004
Attorney Advisor,132269,1999
Attorney Advisor,132269,1997
Attorney Advisor,132269,1999
Trial Attorney,132269,2007
Attorney Advisor,132269,1993
Trial Attorney,132269,2001
Attorney Advisor,132242,2005
Controller,132070,2002
Assoc Gen Counsel Pers Proc,132070,1999
Assoc Treasurer,132070,2009
Agency Fiscal Officer,,2004
Agency Fiscal Officer,132070,2002
"Director, Real Property Tax Ad",132070,2010
Agency Fiscal Officer,132070,1998
Controller,132070,2008
Assoc Treasurer,132070,2011
Chief Of Staff,132000,1995
Assistant Superintendent,132000,2011
Attorney Advisor,131760,1992
Family Services Administrator,131750,2007
Deputy Fire Chief,131657,1982
Deputy Fire Chief,131657,1986
Attorney Advisor,131551,1991
Medico Leg Al Invest,131504,1999
Chief Of Staff,131500,2004
Income Maintenance Admin,131221,2003
Civil Engineer,131188,2004
"Chief, Grants Division",131000,2000
Compliance & Account Officer,131000,2010
Information Technology Specialist,130881,2006
Deputy Chief Tech Officer,130874,2006
Assistant Director,130874,2008
Director,130874,2009
Information Technology Specialist,130847,2006
Director,130625,2005
Deputy Director,130625,2005
Attorney Advisor,130548,1995
Financial Database Advisor,130530,2001
Budget Officer,130530,2004
Deputy Director,130530,1996
Recorder Of Deeds,130530,1998
Program Dir,130530,1998
Accounting Officer,130530,1974
Dir Of Sales,130530,1997
Chief Management Operations,130530,2000
Attorney Advisor,130416,2006
Attorney Advisor,130000,2009
Program Manager,130000,2010
Deputy Director,130000,1997
"Dir, Pol & Legislative Affairs",130000,2005
"Director, Community Affairs",130000,2009
Deputy Inspector General,130000,2010
Deputy Auditor,130000,2000
Attorney Advisor,130000,2008
"Chief, Operations Division",130000,2008
Project Manager,130000,2009
Attorney Advisor,130000,2000
Human Capital Dev Admin,130000,2002
Human Resources Officer,130000,2000
Chief Of Staff,130000,2008
It Project Manager,130000,2006
Executive Director,130000,2001
Account/rate Case Manager,130000,1987
Attorney Advisor,130000,1984
Deputy Director,130000,2003
Chief Building Official,,2009
Attorney Advisor,130000,2007
Dental Officer,129985,2002
Attorney Advisor,129750,2008
Commander,129699,1990
Commander,129699,1990
Commander,129699,2008
Administrative Program Officer,129548,1986
Zoning Administrator,129535,2006
Administrative Law Judge,129325,1996
Administrative Law Judge,129325,2007
Administrative Law Judge,129325,2005
Administrative Law Judge,129325,2005
Administrative Law Judge,129325,2007
Administrative Law Judge,129325,2001
Administrative Law Judge,129325,1986
Administrative Law Judge,129325,2005
Administrative Law Judge,129325,2004
Administrative Law Judge,129325,2005
Administrative Law Judge,129325,1984
Administrative Law Judge,129325,2005
Administrative Law Judge,129325,2007
Administrative Law Judge,129325,2002
Administrative Law Judge,129325,2005
Administrative Law Judge,129325,2006
Administrative Law Judge,129325,1978
Administrative Law Judge,129325,1988
Administrative Law Judge,129325,2005
Administrative Law Judge,129325,2006
Administrative Law Judge,129325,2004
Administrative Law Judge,129325,2005
Administrative Law Judge,129325,2008
Administrative Law Judge,129325,2005
Chief Of Staff,129304,2004
Information Technology Specialist,129083,1979
Information Technology Specialist,129083,2001
Committee Director,129000,1984
Attorney Advisor,128851,1998
"Dep Dir, Dev Review",128773,2000
Deputy Director,128773,1990
Dep Comm For Market Operations,128750,2010
Inspector,128673,1990
Inspector,128673,1990
Trial Attorney,128490,2001
Trial Attorney,128490,1994
Trial Attorney,128490,1999
Trial Attorney,128490,1999
Attorney Advisor,128490,2009
Trial Attorney,128490,1987
Trial Attorney,128490,1998
Executive Management Officer,128435,2006
Controller,128215,2004
Dir For Capital Improvements,128215,2005
Budget Dir,128215,1997
Director Financial Control & R,128215,2001
Agency Fiscal Officer,128215,2002
Agency Fiscal Officer,128215,2004
"Associate Vice President, Deve",128087,2010
Dean,128087,1988
Dean,128087,1978
Chief Human Resources Officer,128087,2011
Chief Info Tech Officer,127886,2005
Executive Director,127883,1974
Assoc Dir For Workers Comp,127854,1987
Manpower Dev Specialist,127777,1974
Battalion Fire Chief,127735,1981
Battalion Fire Chief,127735,1981
Battalion Fire Chief,127735,1981
Battalion Fire Chief,127735,1981
Chief Tenant Advocate,127569,2006
Hearing Examiner,127559,1994
Director Of Risk Finance,127559,1993
Chief Information Officer,127559,2004
Quality Assurance Analys Ofr,127559,1982
Special Assistant,127500,2007
Management Analyst,127468,2007
Information Technology Specialist,127468,2008
Information Technology Specialist,127468,2008
Deputy Director,127312,2002
Principal,127257,1989
Chief State Health Planning An,127229,1983
Director Of Student Accounts,127207,1984
"Chief, Criminal Investigations",127207,2005
Controller,127207,1998
Deputy Director,127207,2006
Problem Resolution Officer,127207,1968
Accounting Systems Manager,127207,1997
Assistant Gen Counsel,127207,1993
Assistant Gen Counsel,127207,1998
Budget Controller,127207,2006
Deputy Controller,127207,1983
Agency Fiscal Officer,127207,1987
Financial Analyst,127207,1973
Attorney Advisor,127198,1991
Attorney Advisor,127182,1994
Assistant Peoples Counsel,127182,2003
Associate General Counsel,127182,1991
Attorney Advisor,127156,1986
Attorney Advisor,127088,2007
Associate Dir Of Benefits,127000,1998
Director,127000,2010
Financial Examiner,126958,2005
Assoc Administrative (solid Waste Ed &,126913,2005
Social Service Program Manager,126913,1992
Assoc Dir Of Gis & It,126913,2002
Zoning Specialist,126913,2002
Assistant Dir,126913,1998
Information Technology Specialist,126582,2004
Acting Director,126500,2005
Planning & Performance Management Of,126423,1987
Medical Officer Admin,126253,2006
Special Assistant,126250,2009
Special Assistant,126250,2007
Special Assistant,126250,2010
Special Assistant,126250,2004
Assistant Ig Inspector/evaluation,126150,1998
Gen Counsel,126150,1999
Bureau Chief Care Services Div,126143,2005
Deputy Fire Chief,125932,1984
Deputy Fire Chief,125932,1989
Deputy Fire Chief,125932,1987
Deputy Fire Chief,125932,2002
Economist,125788,1990
Surveyor Dc,125717,1998
Director,125695,2010
Deputy Chief Data Systems,125695,2010
Project Manager,125613,1998
Councilmember,125583,1999
Councilmember,125583,2005
Councilmember,125583,2007
Councilmember,125583,2009
Councilmember,125583,2007
Councilmember,125583,2000
Councilmember,125583,1999
Councilmember,125583,2007
Councilmember,125583,2007
Councilmember,125583,1999
Councilmember,125583,1997
Councilmember,125583,1991
Lead Medicolegal Investigator,125443,2000
Social Insurance S,125400,2008
Assoc Dir For Administrative Svcs,125400,2006
Information Technology Specialist,125377,2004
Attorney Advisor,125301,1986
Trial Attorney,125301,2008
Attorney Advisor,125301,2004
Chief Of Staff,125170,2006
Financial Auditor,125000,1976
Information Technology Specialist,125000,2007
"Director, Adult Services",125000,2003
Telecommunications Equip Opera,125000,2007
Program Manager,125000,2006
Budget Director,125000,2001
Budget Analyst,125000,2007
General Counsel,125000,2008
Deputy Budget Director,125000,2009
Director Of Child & Youth Serv,125000,2008
Financial Auditor,125000,1988
Chief Of Staff,125000,2005
Information Technology Specialist,125000,2008
Attorney Advisor,125000,1994
Assoc Dir Of Comp And Class,125000,2010
Deputy General Counsel,125000,1999
Special Assistant,125000,2011
Information Technology Specialist,125000,2009
Medical Services Manager,125000,2011
Human Resources Manager,125000,2004
Director Of Fiscal Management,125000,2008
Chief Of Staff,125000,2010
Director,125000,2011
Chief Of Staff,125000,2004
Director,125000,2008
Human Resources Officer,125000,2010
Assoc Direct For Workforce De,125000,2011
Deputy Director,125000,1990
Acting Dean,124779,2009
Director,124735,2010
Trial Attorney,124711,2009
Attorney Advisor,124711,2010
Attorney Advisor,124711,1988
Trial Attorney,124711,2008
Attorney Advisor,124711,2000
Management Srvs Officer,124651,1977
Civil Engineer,124651,1985
Civil Engineer,124650,1983
Dir Of Returns Processing,124360,2009
Agency Fiscal Officer,124360,2008
Director Of Information System,124360,2009
Budget Director,124360,1996
Budget Dir (cluster),124360,1997
Agency Fiscal Officer,124360,2007
Controller,124360,1997
"Dir, Special Ed Compliance Mon",124307,2010
Operations Manager,124158,2006
Clinical & Health Services Adm,124104,2000
Fusion Center Operations Manag,123963,2011
Insurance Opr Program Manager,123963,2005
Energy Management Program Manager,123963,2009
Hlth Systems Admin,123963,2009
Commun & Community Outrch Manager,123963,2011
Prevention Services Program Ma,123963,2008
Deputy Controller,123882,2001
Accounting Officer,123882,2001
Revenue Accounting Manager,123882,2001
Financial Systems Analyst,123882,1997
Capital Budget Controller,123882,1999
Telecommunications Equip Opera,123839,2008
Assoc Dir For Employer Svcs,123750,2005
Special Projects Coordinator,123600,2007
Strategic Plan & Perf Ofcr,123600,2000
Attorney Advisor,123548,1998
Administrative Officer,123515,1993
Assistant Dir For Labor Standards,123449,1978
It Program Manager (network In,123249,2006
Assistant Chief Operating Officer,123200,2009
Attorney Advisor,123005,2003
Dep Dir Addiction Treatment &,123000,2005
Criminal Investigator,123000,2008
Attorney Advisor,122720,1999
Human Resources Specialist,122700,1997
Human Resources Specialist,122700,2007
Director Of Treatment Services,122700,1987
Inspector,122554,1992
"Director, Provider Relations",122511,1998
Manpower Dev Spec (tep),122500,1997
Battalion Fire Chief,122413,1986
Battalion Fire Chief,122413,1982
Battalion Fire Chief,122413,1985
Battalion Fire Chief,122413,1986
Battalion Fire Chief,122413,1985
Battalion Fire Chief,122413,1986
Battalion Fire Chief,122413,1986
Battalion Fire Chief,122413,1983
Battalion Fire Chief,122413,1986
Battalion Fire Chief,122413,1985
Criminal Invest,122350,1998
Administrative Hra,122350,1988
Inspector,122310,1983
Inspector,122310,1990
Inspector,122310,1990
Inspector,122310,1985
Attorney Advisor,122088,1997
Attorney Advisor,122088,2003
Project Manager,122018,2009
Attorney Advisor,122000,2007
Deputy Associate Director,122000,2010
Program Manager,122000,2009
Facility Manager,122000,2008
Facility Operation,121868,2005
Chief Operating Officer,121847,2004
Information Technology Specialist,121758,2006
"Dean, School Of Business And P",121471,2007
Capital Projects Manager,121471,2008
Manager Of Cap Procurement,121471,2005
Human Capital Administrator,121220,2004
Assoc Dir For Apprent & Train,121026,1981
Grants Management,121000,1997
Dep Assistant Superintendant (speci,121000,2008
"Assistant Supt, Early Childhood Edu",121000,2007
Protective Services Officer,120987,2008
Attorney Advisor,120932,2008
Attorney Advisor,120932,2004
Assoc Dir Comp Planning,120730,2003
Information Technology Specialist,120613,2009
Public Affairs Specialist,120612,1985
Information Technology Specialist,120612,2008
Financial Systems Analyst,120558,2001
Deputy Chief Appraiser,120558,1976
Project Manager,120558,2008
Chief Management Operations,120558,1982
Financial Reporting And Contro,120558,2001
Agency Fiscal Officer,120558,1988
Deputy Director,120558,2011
Fiscal Analyst,120558,2000
Capital Budget Director,120558,1984
Controller,120558,2009
Information Technology Specialist,120558,2009
Deputy General Counsel,120558,2005
Special Assistant,120558,1997
Residential Manager (assessor),120558,2007
Information Technology Specialist,120554,2006
Executive Director,120510,2009
Director Of Financial Planning,120506,2009
Chief Operating Officer,120506,2010
Agency Fiscal Officer,120506,2010
Budget Director,120506,2001
Assistant Peoples Counsel,120485,1993
Trial Attorney,120485,1999
Attorney Advisor,120485,2007
Director,120175,2002
Agency Contracting Officer,120115,1978
Information Technology Specialist,120115,1978
Special Assistant,120000,2011
Correctional Institution Admin,120000,2011
Auditor (tax),120000,2010
Attorney Advisor,120000,2000
Program Manager,120000,2008
Deputy Budget Director,120000,2006
Attorney Advisor,120000,2007
Special Assistant,120000,2011
Information Technology Specialist,120000,2009
Program Manager,120000,2009
Program Manager,120000,2008
Program Manager,120000,2008
Program Manager,120000,2010
It Project Manager,120000,2010
Chairman Dc Taxicab Commission,120000,2011
Chief Contracting Officer,120000,1998
Dir Of Spec Educ Data Mgmt,120000,2010
Program Manager,120000,2011
Attorney Advisor,120000,2008
Special Assistant,120000,2008
Development Manager,120000,2008
Attorney Advisor,120000,2010
Director Operational Mgmt,120000,2007
Director Of Fed Grants Comp,120000,2007
Grants Management Res Dev Officer,120000,1998
Fiscal Program Ofcr (race To Top),120000,2009
Correctional Institution Admn,120000,2008
Deputy Chief Of Staff,120000,2011
"Dep Adm, Family Services Adm",120000,2009
Chief Of Staff,120000,2011
Dep Dir Of Student Transport,120000,2011
Justice Grants Administrator,120000,2004
Gen Counsel,120000,2010
